match_id,player_id,player_name,player_link,team,Rating,Goals,Expected_goals_xG,Total_shots,Shots_on_target,Shots_off_target,Blocked_shots,Key_passes,Crosses_accurate,Crosses_total,Accurate_passes,Total_passes,Pass_accuracy_pct,Passes_into_final_third,Passes_in_opposition_half,Long_balls_accurate,Long_balls_total,Dribbles_successful,Dribbles_attempted,Duels_won,Duels_lost,Ground_duels_won,Ground_duels_lost,Aerial_duels_won,Aerial_duels_lost,Tackles_total,Tackles_won,Interceptions,Clearances,Blocks,Fouls_committed,Was_fouled,Assists,Big_chances_created,Big_chances_missed,Touches,Possession_lost,Minutes_played,Saves,Punches,Runs_out,Goals_conceded
13981581,947954,Elia Caprile,https://www.sofascore.com/player/elia-caprile/947954,home,7.1,0,,0,0,0,0,0,0,0,24,35,68.6,0,4,9,19,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,46,0,90,1,1,0,0
13981581,1397736,Marco Palestra,https://www.sofascore.com/player/palestra-marco/1397736,home,6.6,0,0.0715,1,0,0,1,1,0,3,30,37,81.1,0,12,1,2,0,0,5,2,0,0,0,0,0,0,0,2,0,1,3,0,0,0,55,0,90,0,0,0,0
13981581,360396,Yerry Mina,https://www.sofascore.com/player/yerry-mina/360396,home,6.6,0,,0,0,0,0,0,0,0,47,51,92.2,0,8,2,4,0,0,8,5,0,0,3,2,3,0,0,6,0,2,2,0,0,0,65,0,90,0,0,0,0
13981581,1485391,Juan Rodriguez,https://www.sofascore.com/player/rodriguez-juan/1485391,home,6.8,0,,0,0,0,0,0,0,1,28,36,77.8,0,3,1,7,0,0,5,2,0,0,0,0,3,2,1,6,1,1,2,0,0,0,53,0,90,0,0,0,0
13981581,964153,Adam Obert,https://www.sofascore.com/player/adam-obert/964153,home,6.3,0,,0,0,0,0,0,0,1,20,27,74.1,0,8,3,6,0,0,1,5,0,0,1,4,0,0,0,7,1,1,0,0,0,0,47,0,45,0,0,0,0
13981581,928777,Michel Adopo,https://www.sofascore.com/player/michel-ndary-adopo/928777,home,6.4,0,0.0273,0,1,0,0,0,0,2,17,21,81.0,0,12,0,1,0,0,3,3,0,0,0,2,2,1,2,2,0,2,1,0,0,0,37,0,55,0,0,0,0
13981581,328109,Alessandro Deiola,https://www.sofascore.com/player/alessandro-deiola/328109,home,6.7,0,0.0756,1,0,0,1,0,0,0,38,46,82.6,0,16,4,6,0,0,3,4,0,0,0,3,2,1,2,2,0,1,1,0,0,0,58,0,90,0,0,0,0
13981581,869795,Michael Folorunsho,https://www.sofascore.com/player/michael-folorunsho/869795,home,7.7,1,0.6795,1,1,0,1,0,0,0,15,19,78.9,0,10,1,3,0,0,7,5,0,0,5,2,0,0,0,3,0,1,2,0,0,0,34,0,63,0,0,0,0
13981581,902019,Gianluca Gaetano,https://www.sofascore.com/player/gaetano-gianluca/902019,home,7.1,0,0.1653,3,0,2,1,5,0,1,28,35,80.0,0,16,5,7,0,0,4,5,0,0,0,1,1,0,0,0,0,1,1,1,0,0,53,0,83,0,0,0,0
13981581,965008,Sebastiano Esposito,https://www.sofascore.com/player/sebastiano-esposito/965008,home,7.0,0,0.0993,2,0,1,1,4,0,3,24,31,77.4,0,22,3,5,0,0,8,2,0,0,2,0,2,1,0,1,0,1,3,0,0,0,52,0,90,0,0,0,0
