match_id,minute,momentum_value,dominant_team,abs_value
14083190,1.0,-7,away,7
14083190,2.0,-9,away,9
14083190,3.0,13,home,13
14083190,4.0,-10,away,10
14083190,5.0,11,home,11
14083190,6.0,-13,away,13
14083190,7.0,-6,away,6
14083190,8.0,11,home,11
14083190,9.0,18,home,18
14083190,10.0,3,home,3
14083190,11.0,-37,away,37
14083190,12.0,-49,away,49
14083190,13.0,-35,away,35
14083190,14.0,30,home,30
14083190,15.0,-10,away,10
14083190,16.0,-74,away,74
14083190,17.0,-33,away,33
14083190,18.0,-27,away,27
14083190,19.0,-27,away,27
14083190,20.0,-24,away,24
14083190,21.0,-24,away,24
14083190,22.0,41,home,41
14083190,23.0,-27,away,27
14083190,24.0,-7,away,7
14083190,25.0,47,home,47
14083190,26.0,24,home,24
14083190,27.0,11,home,11
14083190,28.0,-33,away,33
14083190,29.0,-28,away,28
14083190,30.0,-33,away,33
14083190,31.0,-29,away,29
14083190,32.0,-51,away,51
14083190,33.0,-30,away,30
14083190,34.0,-26,away,26
14083190,35.0,-15,away,15
14083190,36.0,13,home,13
14083190,37.0,45,home,45
14083190,38.0,20,home,20
14083190,39.0,6,home,6
14083190,40.0,-25,away,25
14083190,41.0,-20,away,20
14083190,42.0,-16,away,16
14083190,43.0,-4,away,4
14083190,44.0,-6,away,6
14083190,45.0,-2,away,2
14083190,45.5,-6,away,6
14083190,46.0,-8,away,8
14083190,47.0,-46,away,46
14083190,48.0,-38,away,38
14083190,49.0,-35,away,35
14083190,50.0,-29,away,29
14083190,51.0,-43,away,43
14083190,52.0,-19,away,19
14083190,53.0,-24,away,24
14083190,54.0,-39,away,39
14083190,55.0,-31,away,31
14083190,56.0,-23,away,23
14083190,57.0,-74,away,74
14083190,58.0,-50,away,50
14083190,59.0,-28,away,28
14083190,60.0,-23,away,23
14083190,61.0,-8,away,8
14083190,62.0,5,home,5
14083190,63.0,-14,away,14
14083190,64.0,-69,away,69
14083190,65.0,-42,away,42
14083190,66.0,-7,away,7
14083190,67.0,-15,away,15
14083190,68.0,31,home,31
14083190,69.0,19,home,19
14083190,70.0,-12,away,12
14083190,71.0,-16,away,16
14083190,72.0,-28,away,28
14083190,73.0,-39,away,39
14083190,74.0,-51,away,51
14083190,75.0,-38,away,38
14083190,76.0,-37,away,37
14083190,77.0,-30,away,30
14083190,78.0,78,home,78
14083190,79.0,56,home,56
14083190,80.0,23,home,23
14083190,81.0,-45,away,45
14083190,82.0,-25,away,25
14083190,83.0,-32,away,32
14083190,84.0,-32,away,32
14083190,85.0,-45,away,45
14083190,86.0,-32,away,32
14083190,87.0,-28,away,28
14083190,88.0,-25,away,25
14083190,89.0,-26,away,26
14083190,90.0,-27,away,27
14083190,90.5,-41,away,41
