match_id,minute,momentum_value,dominant_team,abs_value
14025216,1.0,-17,away,17
14025216,2.0,-26,away,26
14025216,3.0,-16,away,16
14025216,4.0,-14,away,14
14025216,5.0,-8,away,8
14025216,6.0,11,home,11
14025216,7.0,11,home,11
14025216,8.0,38,home,38
14025216,9.0,62,home,62
14025216,10.0,69,home,69
14025216,11.0,11,home,11
14025216,12.0,4,home,4
14025216,13.0,-8,away,8
14025216,14.0,-5,away,5
14025216,15.0,44,home,44
14025216,16.0,20,home,20
14025216,17.0,11,home,11
14025216,18.0,6,home,6
14025216,19.0,-27,away,27
14025216,20.0,-11,away,11
14025216,21.0,-7,away,7
14025216,22.0,-37,away,37
14025216,23.0,-40,away,40
14025216,24.0,-25,away,25
14025216,25.0,-18,away,18
14025216,26.0,-14,away,14
14025216,27.0,-12,away,12
14025216,28.0,-9,away,9
14025216,29.0,-12,away,12
14025216,30.0,-7,away,7
14025216,31.0,-8,away,8
14025216,32.0,-9,away,9
14025216,33.0,16,home,16
14025216,34.0,-20,away,20
14025216,35.0,-20,away,20
14025216,36.0,-60,away,60
14025216,37.0,-40,away,40
14025216,38.0,-11,away,11
14025216,39.0,7,home,7
14025216,40.0,7,home,7
14025216,41.0,-16,away,16
14025216,42.0,-31,away,31
14025216,43.0,-19,away,19
14025216,44.0,-32,away,32
14025216,45.0,-18,away,18
14025216,45.5,-24,away,24
14025216,46.0,2,home,2
14025216,47.0,4,home,4
14025216,48.0,4,home,4
14025216,49.0,5,home,5
14025216,50.0,1,home,1
14025216,51.0,23,home,23
14025216,52.0,7,home,7
14025216,53.0,-9,away,9
14025216,54.0,-37,away,37
14025216,55.0,-26,away,26
14025216,56.0,-64,away,64
14025216,57.0,-28,away,28
14025216,58.0,60,home,60
14025216,59.0,26,home,26
14025216,60.0,-31,away,31
14025216,61.0,-12,away,12
14025216,62.0,-13,away,13
14025216,63.0,-21,away,21
14025216,64.0,-23,away,23
14025216,65.0,32,home,32
14025216,66.0,-22,away,22
14025216,67.0,-31,away,31
14025216,68.0,-30,away,30
14025216,69.0,-3,away,3
14025216,70.0,-8,away,8
14025216,71.0,23,home,23
14025216,72.0,-19,away,19
14025216,73.0,4,home,4
14025216,74.0,-9,away,9
14025216,75.0,-5,away,5
14025216,76.0,-8,away,8
14025216,77.0,5,home,5
14025216,78.0,-18,away,18
14025216,79.0,-19,away,19
14025216,80.0,-20,away,20
14025216,81.0,-28,away,28
14025216,82.0,-19,away,19
14025216,83.0,-11,away,11
14025216,84.0,-7,away,7
14025216,85.0,-7,away,7
14025216,86.0,-28,away,28
14025216,87.0,-22,away,22
14025216,88.0,-35,away,35
14025216,89.0,-17,away,17
14025216,90.0,-1,away,1
14025216,90.5,-55,away,55
