match_id,player_id,player_name,player_link,team,Rating,Goals,Expected_goals_xG,Total_shots,Shots_on_target,Shots_off_target,Blocked_shots,Key_passes,Crosses_accurate,Crosses_total,Accurate_passes,Total_passes,Pass_accuracy_pct,Passes_into_final_third,Passes_in_opposition_half,Long_balls_accurate,Long_balls_total,Dribbles_successful,Dribbles_attempted,Duels_won,Duels_lost,Ground_duels_won,Ground_duels_lost,Aerial_duels_won,Aerial_duels_lost,Tackles_total,Tackles_won,Interceptions,Clearances,Blocks,Fouls_committed,Was_fouled,Assists,Big_chances_created,Big_chances_missed,Touches,Possession_lost,Minutes_played,Saves,Punches,Runs_out,Goals_conceded
14970878,232422,Kepa Arrizabalaga,https://www.sofascore.com/player/kepa-arrizabalaga/232422,home,7.1,0,,0,0,0,0,0,0,0,24,35,68.6,0,4,5,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,39,0,90,0,0,0,0
14970878,958959,Jurriën Timber,https://www.sofascore.com/player/jurrien-timber/958959,home,7.6,0,,3,1,1,2,0,1,2,34,41,82.9,0,17,1,3,0,0,5,3,0,1,0,1,2,1,1,2,0,0,0,0,0,1,64,0,90,0,0,0,0
14970878,941168,William Saliba,https://www.sofascore.com/player/william-saliba/941168,home,6.8,0,,0,0,0,0,0,0,1,83,91,91.2,0,26,1,6,0,0,3,7,0,0,1,6,1,1,1,1,0,1,0,0,0,0,97,0,90,0,0,0,0
14970878,957602,Riccardo Calafiori,https://www.sofascore.com/player/riccardo-calafiori/957602,home,7.3,0,,3,0,1,2,0,0,0,77,86,89.5,0,33,0,5,0,0,4,1,0,0,3,1,1,1,1,3,1,0,0,0,0,0,97,0,90,0,0,0,0
14970878,1423711,Myles Lewis-Skelly,https://www.sofascore.com/player/lewis-skelly-myles/1423711,home,7.0,0,,2,0,0,2,1,1,1,62,67,92.5,0,37,1,1,0,0,6,1,0,0,1,0,0,0,0,2,0,0,4,0,0,0,87,0,90,0,0,0,0
14970878,592010,Mikel Merino,https://www.sofascore.com/player/mikel-merino/592010,home,6.9,0,,0,0,0,0,1,0,0,24,33,72.7,0,15,0,1,0,0,6,12,0,1,4,7,0,0,1,2,0,3,2,0,0,0,43,0,90,0,0,0,0
14970878,135256,Christian Nørgaard,https://www.sofascore.com/player/christian-norgaard/135256,home,7.1,0,,2,0,1,1,1,0,2,49,68,72.1,0,24,1,3,0,0,6,3,0,0,3,2,2,1,1,3,0,1,1,0,0,0,87,0,90,0,0,0,0
14970878,864921,Eberechi Eze,https://www.sofascore.com/player/eberechi-eze/864921,home,7.1,0,,1,0,0,1,2,2,2,27,31,87.1,0,17,0,1,0,0,4,3,0,0,0,0,1,0,0,0,0,1,3,0,0,0,44,0,67,0,0,0,0
14970878,966547,Noni Madueke,https://www.sofascore.com/player/noni-madueke/966547,home,6.8,0,,2,3,0,2,2,3,6,14,21,66.7,0,9,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,1,0,0,0,2,41,0,67,0,0,0,0
14970878,794839,Gabriel Jesus,https://www.sofascore.com/player/gabriel-jesus/794839,home,6.4,0,,3,2,2,1,0,0,1,8,13,61.5,0,7,0,0,0,0,5,7,0,0,3,2,1,1,1,1,0,0,1,0,0,1,31,0,86,0,0,0,0
