match_id,home_or_away,player,player_id,xG,xGOT,Outcome,Situation,Shot_type,Goal_zone,minute,added_time,x_coord,y_coord
14025216,away,Mason Mount,836694,0.04,0.0,Off Target,Free Kick,Right Foot,Close High,90,3,18.1,18.3
14025216,away,Shea Lacey,1465865,0.019,0.016,Saved,Open Play,Left Foot,High Centre,90,,24.5,65.7
14025216,away,Matheus Cunha,886363,0.009,0.058,Saved,Assisted,Right Foot,Low Left,85,,29.6,38.7
14025216,home,Morgan Rogers,948261,0.06,0.0,Blocked,Assisted,Right Foot,Low Centre,85,,19.8,57.5
14025216,away,Mason Mount,836694,0.06,0.0,Blocked,Assisted,Left Foot,Low Right,77,,20.0,52.8
14025216,away,Matheus Cunha,886363,0.392,0.0,Off Target,Assisted,Header,right,67,,7.0,50.3
14025216,away,Matheus Cunha,886363,0.017,0.0,Off Target,Assisted,Right Foot,right,65,,24.4,30.6
14025216,home,Morgan Rogers,948261,0.035,0.0,Blocked,Corner,Right Foot,Low Left,64,,13.9,56.0
14025216,home,Morgan Rogers,948261,0.012,0.0,Blocked,throw-in-set-piece,Right Foot,Low Centre,62,,20.1,27.5
14025216,away,Patrick Dorgu,1397168,0.057,0.0,Blocked,Open Play,Left Foot,Low Centre,59,,7.7,33.8
14025216,away,Diogo Dalot,843200,0.029,0.076,Saved,Assisted,Left Foot,Low Left,59,,17.2,69.6
14025216,home,Morgan Rogers,948261,0.033,0.481,Goal,Assisted,Right Foot,High Right,57,,12.6,36.0
14025216,away,Lisandro Martínez,859999,0.018,0.0,Off Target,Open Play,Left Foot,Close Left,56,,26.8,39.1
14025216,away,Mason Mount,836694,0.036,0.0,Off Target,Corner,Left Foot,right,53,,17.2,38.5
14025216,home,Matty Cash,833956,0.067,0.0,Blocked,Assisted,Left Foot,Low Centre,51,,15.8,63.0
14025216,away,Matheus Cunha,886363,0.159,0.425,Goal,Assisted,Right Foot,Low Right,45,3,8.6,33.6
14025216,home,Morgan Rogers,948261,0.029,0.836,Goal,Assisted,Right Foot,High Right,45,,14.1,27.1
14025216,away,Bruno Fernandes,288205,0.105,0.0,Blocked,Assisted,Left Foot,Low Centre,42,,16.0,49.3
14025216,home,Youri Tielemans,331737,0.028,0.0,Off Target,Assisted,Right Foot,Close Right,38,,27.6,48.6
14025216,away,Matheus Cunha,886363,0.037,0.09,Saved,Open Play,Right Foot,High Left,34,,24.4,38.3
14025216,home,Morgan Rogers,948261,0.041,0.015,Saved,Assisted,Right Foot,Low Centre,33,,24.8,44.4
14025216,away,Benjamin Šeško,986397,0.322,0.185,Saved,Assisted,Right Foot,Low Centre,22,,12.2,61.6
14025216,home,Morgan Rogers,948261,0.911,0.0,Hit Post,Corner,Left Foot,right,8,,3.1,49.7
14025216,home,Ian Maatsen,976263,0.027,0.0,Off Target,Corner,Left Foot,right,8,,5.5,31.5
14025216,home,Ollie Watkins,555386,0.153,0.0,Blocked,Fast Break,Right Foot,Low Right,8,,6.4,57.0
14025216,home,John McGinn,250223,0.11,0.37,Saved,Fast Break,Left Foot,Low Left,7,,13.9,65.2
14025216,away,Matheus Cunha,886363,0.034,0.0,Off Target,Open Play,Right Foot,Close Right,3,,25.8,51.7
