match_id,team,player,player_id,player_link,Goals,Assists,Tackles_won,Accurate_passes,Duels_won,Ground_duels_won,Aerial_duels_won,Minutes_played,Position,Sofascore_Rating
15171806,home_team,Théo De Percin,1095836,https://www.sofascore.com/player/theo-de-percin/1095836,0,0,,13/25 (52%),1 (1),,1 (1),90',G,8.7
15171806,home_team,Lamine Sy,1177351,https://www.sofascore.com/player/lamine-sy/1177351,0,0,2 (2),13/18 (72%),7 (5),,,62',D,7.0
15171806,home_team,Marvin Senaya,1087805,https://www.sofascore.com/player/marvin-senaya/1087805,0,0,4 (2),15/21 (71%),11 (6),,2 (1),90',D,6.3
15171806,home_team,Francisco Sierralta,805096,https://www.sofascore.com/player/francisco-sierralta/805096,0,0,2 (2),35/39 (90%),7 (3),2 (0),3 (1),90',D,7.0
15171806,home_team,Gideon Mensah,844942,https://www.sofascore.com/player/gideon-mensah/844942,0,0,6 (6),41/54 (76%),14 (11),1 (0),1 (0),90',D,7.3
15171806,home_team,Fredrik Oppegård,1005648,https://www.sofascore.com/player/fredrik-oppegard/1005648,0,0,,24/26 (92%),4 (0),1 (0),1 (0),90',D,6.0
15171806,home_team,Assane Dioussé,782240,https://www.sofascore.com/player/assane-diousse/782240,1,0,3 (2),43/50 (86%),7 (5),1 (0),,90',M,7.7
15171806,home_team,Kévin Danois,1151803,https://www.sofascore.com/player/kevin-danois/1151803,0,0,,34/43 (79%),8 (3),1 (0),1 (1),81',M,6.7
15171806,home_team,Rudy Matondo,1961626,https://www.sofascore.com/player/rudy-matondo/1961626,0,0,2 (1),20/23 (87%),12 (4),2 (0),1 (1),81',M,6.3
15171806,home_team,Ibrahim Osman,1471095,https://www.sofascore.com/player/osman-ibrahim/1471095,0,0,,15/16 (94%),14 (5),1 (0),2 (0),89',F,6.4
15171806,home_team,Ryan Rodin,1927696,https://www.sofascore.com/player/ryan-rodin/1927696,0,0,,7/11 (64%),10 (6),,8 (4),63',F,6.7
15171806,home_team,Lasso Coulibaly,1126588,https://www.sofascore.com/player/lasso-coulibaly/1126588,0,0,1 (1),11/12 (92%),5 (2),,,28',M,6.5
15171806,home_team,Mamoudou Cissokho,2409356,https://www.sofascore.com/player/mamoudou-cissokho/2409356,0,0,1 (1),1/2 (50%),5 (1),,2 (0),27',F,6.4
15171806,home_team,Tidiane Devernois,1927719,https://www.sofascore.com/player/tidiane-devernois/1927719,0,0,,7/7 (100%),2 (0),1 (0),,9',M,6.7
15171806,home_team,Yvan Zaddy,1974226,https://www.sofascore.com/player/yvan-zaddy/1974226,0,0,,6/7 (86%),,,,9',F,6.5
15171806,home_team,Lamfia Dioubaté,1974223,https://www.sofascore.com/player/lamfia-dioubate/1974223,0,0,,1/1 (100%),,,,1',M,
15171806,home_team,Donovan Léon,159837,https://www.sofascore.com/player/donovan-leon/159837,0,0,,,,,,,G,
15171806,home_team,Alvin Petit Dol,1974202,https://www.sofascore.com/player/alvin-petit-dol/1974202,0,0,,,,,,,D,
