match_id,minute,momentum_value,dominant_team,abs_value
14083181,1.0,-9,away,9
14083181,2.0,-9,away,9
14083181,3.0,-9,away,9
14083181,4.0,-14,away,14
14083181,5.0,39,home,39
14083181,6.0,16,home,16
14083181,7.0,97,home,97
14083181,8.0,44,home,44
14083181,9.0,6,home,6
14083181,10.0,-16,away,16
14083181,11.0,-1,away,1
14083181,12.0,-9,away,9
14083181,13.0,-3,away,3
14083181,14.0,32,home,32
14083181,15.0,25,home,25
14083181,16.0,74,home,74
14083181,17.0,39,home,39
14083181,18.0,17,home,17
14083181,19.0,31,home,31
14083181,20.0,19,home,19
14083181,21.0,10,home,10
14083181,22.0,13,home,13
14083181,23.0,47,home,47
14083181,24.0,30,home,30
14083181,25.0,9,home,9
14083181,26.0,-38,away,38
14083181,27.0,-19,away,19
14083181,28.0,16,home,16
14083181,29.0,8,home,8
14083181,30.0,-6,away,6
14083181,31.0,6,home,6
14083181,32.0,-13,away,13
14083181,33.0,-3,away,3
14083181,34.0,4,home,4
14083181,35.0,18,home,18
14083181,36.0,25,home,25
14083181,37.0,20,home,20
14083181,38.0,12,home,12
14083181,39.0,27,home,27
14083181,40.0,25,home,25
14083181,41.0,28,home,28
14083181,42.0,45,home,45
14083181,43.0,31,home,31
14083181,44.0,40,home,40
14083181,45.0,70,home,70
14083181,45.5,24,home,24
14083181,46.0,-2,away,2
14083181,47.0,-9,away,9
14083181,48.0,-21,away,21
14083181,49.0,-2,away,2
14083181,50.0,34,home,34
14083181,51.0,19,home,19
14083181,52.0,24,home,24
14083181,53.0,14,home,14
14083181,54.0,7,home,7
14083181,55.0,-2,away,2
14083181,56.0,45,home,45
14083181,57.0,-53,away,53
14083181,58.0,-13,away,13
14083181,59.0,-4,away,4
14083181,60.0,37,home,37
14083181,61.0,17,home,17
14083181,62.0,36,home,36
14083181,63.0,40,home,40
14083181,64.0,23,home,23
14083181,65.0,47,home,47
14083181,66.0,22,home,22
14083181,67.0,11,home,11
14083181,68.0,-13,away,13
14083181,69.0,-12,away,12
14083181,70.0,14,home,14
14083181,71.0,9,home,9
14083181,72.0,15,home,15
14083181,73.0,3,home,3
14083181,74.0,1,home,1
14083181,75.0,-2,away,2
14083181,76.0,-3,away,3
14083181,77.0,-11,away,11
14083181,78.0,-67,away,67
14083181,79.0,-41,away,41
14083181,80.0,-7,away,7
14083181,81.0,-36,away,36
14083181,82.0,-61,away,61
14083181,83.0,-34,away,34
14083181,84.0,-18,away,18
14083181,85.0,-40,away,40
14083181,86.0,-24,away,24
14083181,87.0,-36,away,36
14083181,88.0,-23,away,23
14083181,89.0,-16,away,16
14083181,90.0,-76,away,76
14083181,90.5,9,home,9
