match_id,player_id,player_name,player_link,team,Rating,Goals,Expected_goals_xG,Total_shots,Shots_on_target,Shots_off_target,Blocked_shots,Key_passes,Crosses_accurate,Crosses_total,Accurate_passes,Total_passes,Pass_accuracy_pct,Passes_into_final_third,Passes_in_opposition_half,Long_balls_accurate,Long_balls_total,Dribbles_successful,Dribbles_attempted,Duels_won,Duels_lost,Ground_duels_won,Ground_duels_lost,Aerial_duels_won,Aerial_duels_lost,Tackles_total,Tackles_won,Interceptions,Clearances,Blocks,Fouls_committed,Was_fouled,Assists,Big_chances_created,Big_chances_missed,Touches,Possession_lost,Minutes_played,Saves,Punches,Runs_out,Goals_conceded
15184397,788180,Rémy Descamps,https://www.sofascore.com/player/remy-descamps/788180,home,6.9,0,,0,0,0,0,0,0,0,16,17,94.1,0,0,3,3,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,24,0,90,0,0,0,0
15184397,352768,Ainsley Maitland-Niles,https://www.sofascore.com/player/ainsley-maitland-niles/352768,home,8.1,0,,2,0,2,0,3,3,6,54,63,85.7,0,28,3,5,0,0,9,4,0,1,1,2,6,3,1,1,0,0,1,0,1,0,92,0,90,0,0,0,0
15184397,356352,Hans Hateboer,https://www.sofascore.com/player/hans-hateboer/356352,home,7.3,0,,1,0,1,0,0,0,0,67,74,90.5,0,33,5,9,0,0,4,2,0,0,4,2,0,0,0,4,0,0,0,0,0,0,81,0,90,0,0,0,0
15184397,1014540,Ruben Kluivert,https://www.sofascore.com/player/ruben-kluivert/1014540,home,7.4,0,,2,0,2,0,0,0,0,61,66,92.4,0,25,0,2,0,0,6,1,0,0,6,1,0,0,1,5,0,0,0,0,0,0,74,0,90,0,0,0,0
15184397,973838,Abner Vinícius,https://www.sofascore.com/player/abner-vinicius/973838,home,8.1,1,,1,2,1,0,0,1,1,85,96,88.5,0,56,4,7,0,0,2,2,0,1,2,0,0,0,2,1,0,0,0,0,0,0,118,0,90,0,0,0,0
15184397,1545023,Mathys de Carvalho,https://www.sofascore.com/player/mathys-de-carvalho/1545023,home,7.0,0,,0,0,0,0,0,0,4,20,26,76.9,0,15,0,0,0,0,7,1,0,0,4,0,2,2,0,1,0,1,1,0,0,0,35,0,45,0,0,0,0
15184397,979118,Tyler Morton,https://www.sofascore.com/player/tyler-morton/979118,home,8.0,0,,0,1,0,0,2,0,0,65,76,85.5,0,46,7,10,0,0,6,1,0,0,0,0,2,2,0,0,0,1,2,0,0,0,86,0,78,0,0,0,0
15184397,2127096,Khalis Merah,https://www.sofascore.com/player/khalis-merah/2127096,home,7.6,0,,2,0,1,1,1,0,3,51,54,94.4,0,41,4,4,0,0,9,8,0,1,3,2,2,1,0,0,0,1,1,0,0,0,73,0,78,0,0,0,0
15184397,1000175,Adam Karabec,https://www.sofascore.com/player/adam-karabec/1000175,home,6.5,0,,2,0,2,0,3,2,10,22,27,81.5,0,18,1,2,0,0,1,5,0,0,0,1,1,1,0,1,0,0,0,0,0,1,51,0,66,0,0,0,0
15184397,973536,Martín Satriano,https://www.sofascore.com/player/martin-satriano/973536,home,6.2,0,,0,1,0,0,1,0,0,9,15,60.0,0,7,0,1,0,0,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,22,0,66,0,0,0,0
15184397,1215906,Afonso Moreira,https://www.sofascore.com/player/afonso-moreira/1215906,home,8.1,0,,1,5,0,1,4,3,12,40,49,81.6,0,35,2,2,0,0,6,5,0,2,1,1,3,2,2,1,0,0,1,1,2,2,83,0,90,0,0,0,0
15184397,957604,Pavel Šulc,https://www.sofascore.com/player/pavel-sulc/957604,home,8.5,2,,1,2,0,1,0,0,1,7,10,70.0,0,7,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,19,0,45,0,0,0,0
15184397,123228,Rachid Ghezzal,https://www.sofascore.com/player/rachid-ghezzal/123228,home,6.5,0,,0,0,0,0,1,1,4,31,31,100.0,0,13,1,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,37,0,24,0,0,0,0
15184397,1614474,Alejandro Gomes Rodriguez,https://www.sofascore.com/player/alejandro-gomes-rodriguez/1614474,home,6.3,0,,1,0,1,0,1,0,0,9,9,100.0,0,7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,14,0,24,0,0,0,0
15184397,793988,Orel Mangala,https://www.sofascore.com/player/orel-mangala/793988,home,6.6,0,,0,0,0,0,0,0,0,19,19,100.0,0,11,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,21,0,12,0,0,0,0
15184397,1022084,Tanner Tessmann,https://www.sofascore.com/player/tanner-tessmann/1022084,home,6.6,0,,1,1,1,0,1,0,0,7,11,63.6,0,4,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,15,0,12,0,0,0,0
