match_id,home_or_away,player,player_id,xG,xGOT,Outcome,Situation,Shot_type,Goal_zone,minute,added_time,x_coord,y_coord
14083190,away,Marcus Rashford,814590,0.127,0.0,Saved,Assisted,Left Foot,Low Right,89,,9.2,35.0
14083190,away,Marcus Rashford,814590,0.019,0.0,Blocked,Corner,Right Foot,Low Centre,79,,19.2,47.6
14083190,home,Georges Mikautadze,1009372,0.066,0.0,Blocked,Fast Break,Right Foot,Low Centre,77,,11.9,34.8
14083190,home,Sergi Cardona,986245,0.203,0.123,Saved,Fast Break,Left Foot,Low Centre,77,,13.8,37.5
14083190,home,Georges Mikautadze,1009372,0.188,0.205,Saved,Fast Break,Left Foot,Low Centre,76,,11.3,41.3
14083190,away,Raphinha,831005,0.046,0.0,Off Target,Set Piece,Left Foot,Close Right,74,,21.6,41.5
14083190,away,Raphinha,831005,0.034,0.0,Blocked,Assisted,Left Foot,Low Centre,68,,18.4,60.9
14083190,home,Sergi Cardona,986245,0.089,0.138,Saved,Set Piece,Left Foot,Low Centre,67,,7.6,42.5
14083190,away,Lamine Yamal,1402912,0.206,0.768,Goal,Assisted,Left Foot,Low Right,63,,11.1,53.4
14083190,away,Robert Lewandowski,41789,0.225,0.0,Blocked,Assisted,Right Foot,Low Centre,63,,6.7,47.4
14083190,away,Lamine Yamal,1402912,0.058,0.0,Off Target,Assisted,Left Foot,left,63,,9.8,63.8
14083190,away,Frenkie de Jong,795222,0.22,0.0,Off Target,Assisted,Left Foot,left,63,,11.0,47.0
14083190,home,Alberto Moleiro,1012444,0.048,0.0,Off Target,throw-in-set-piece,Left Foot,right,61,,15.9,44.2
14083190,home,Dani Parejo,39182,0.038,0.0,Blocked,Free Kick,Right Foot,Low Centre,59,,27.1,39.6
14083190,away,Alejandro Balde,997035,0.05,0.0,Off Target,Assisted,Left Foot,high,57,,15.3,35.4
14083190,away,Fermín López,1153270,0.118,0.272,Saved,Assisted,Right Foot,Low Centre,57,,13.2,55.1
14083190,away,Fermín López,1153270,0.074,0.0,Blocked,Fast Break,Right Foot,Low Right,51,,17.0,57.7
14083190,away,Ferran Torres,855833,0.119,0.0,Off Target,Assisted,Header,High Right,50,,7.3,52.8
14083190,away,Eric García,876214,0.128,0.0,Blocked,Assisted,Right Foot,Low Centre,49,,13.6,62.1
14083190,away,Lamine Yamal,1402912,0.04,0.071,Saved,Assisted,Left Foot,Low Right,47,,8.2,67.3
14083190,away,Ferran Torres,855833,0.365,0.0,Off Target,Assisted,Header,High Right,38,,2.5,56.0
14083190,home,Tajon Buchanan,973290,0.181,0.229,Saved,Open Play,Right Foot,Low Centre,36,,7.1,65.8
14083190,away,Lamine Yamal,1402912,0.046,0.0,Off Target,Open Play,Left Foot,Close High,32,,21.8,57.5
14083190,away,Fermín López,1153270,0.031,0.0,Off Target,Assisted,Right Foot,high,28,,20.3,66.3
14083190,home,Tajon Buchanan,973290,0.025,0.0,Off Target,Assisted,Right Foot,left,24,,8.9,69.3
14083190,home,Renato Veiga,1087359,0.005,0.0,Off Target,Corner,other,left,22,,13.2,45.4
14083190,away,Raphinha,831005,0.021,0.0,Hit Post,Corner,Left Foot,high,15,,25.1,51.5
14083190,home,Tajon Buchanan,973290,0.08,0.0,Off Target,Open Play,Left Foot,left,14,,20.7,47.7
14083190,away,Raphinha,831005,0.788,0.72,Goal,Penalty,Left Foot,Low Left,12,,11.5,50.0
14083190,home,Ayoze Pérez,345195,0.131,0.29,Saved,Assisted,Right Foot,Low Right,9,,17.6,47.7
14083190,home,Ayoze Pérez,345195,0.145,0.0,Blocked,Fast Break,Right Foot,Low Left,7,,9.3,40.2
14083190,home,Nicolas Pépé,593526,0.448,0.0,Off Target,Fast Break,Header,Close Right,2,,5.5,52.3
14083190,home,Alberto Moleiro,1012444,0.093,0.0,Off Target,Fast Break,Right Foot,right,2,,14.4,31.9
