match_id,minute,momentum_value,dominant_team,abs_value
13981579,1.0,-4,away,4
13981579,2.0,20,home,20
13981579,3.0,42,home,42
13981579,4.0,4,home,4
13981579,5.0,4,home,4
13981579,6.0,-18,away,18
13981579,7.0,-11,away,11
13981579,8.0,-28,away,28
13981579,9.0,-12,away,12
13981579,10.0,-12,away,12
13981579,11.0,-44,away,44
13981579,12.0,-34,away,34
13981579,13.0,-20,away,20
13981579,14.0,-20,away,20
13981579,15.0,-50,away,50
13981579,16.0,-22,away,22
13981579,17.0,66,home,66
13981579,18.0,58,home,58
13981579,19.0,7,home,7
13981579,20.0,-24,away,24
13981579,21.0,14,home,14
13981579,22.0,-24,away,24
13981579,23.0,-28,away,28
13981579,24.0,-20,away,20
13981579,25.0,-16,away,16
13981579,26.0,-18,away,18
13981579,27.0,13,home,13
13981579,28.0,-9,away,9
13981579,29.0,43,home,43
13981579,30.0,8,home,8
13981579,31.0,5,home,5
13981579,32.0,1,home,1
13981579,33.0,-24,away,24
13981579,34.0,-18,away,18
13981579,35.0,-4,away,4
13981579,36.0,-9,away,9
13981579,37.0,-25,away,25
13981579,38.0,-1,away,1
13981579,39.0,-30,away,30
13981579,40.0,-25,away,25
13981579,41.0,-81,away,81
13981579,42.0,-54,away,54
13981579,43.0,-75,away,75
13981579,44.0,-50,away,50
13981579,45.0,-29,away,29
13981579,45.5,-12,away,12
13981579,46.0,6,home,6
13981579,47.0,70,home,70
13981579,48.0,24,home,24
13981579,49.0,-15,away,15
13981579,50.0,-8,away,8
13981579,51.0,-85,away,85
13981579,52.0,-97,away,97
13981579,53.0,-55,away,55
13981579,54.0,33,home,33
13981579,55.0,-13,away,13
13981579,56.0,-14,away,14
13981579,57.0,-13,away,13
13981579,58.0,-38,away,38
13981579,59.0,-24,away,24
13981579,60.0,-15,away,15
13981579,61.0,-14,away,14
13981579,62.0,-10,away,10
13981579,63.0,-8,away,8
13981579,64.0,-14,away,14
13981579,65.0,-14,away,14
13981579,66.0,-17,away,17
13981579,67.0,-44,away,44
13981579,68.0,-34,away,34
13981579,69.0,-31,away,31
13981579,70.0,-28,away,28
13981579,71.0,-56,away,56
13981579,72.0,-28,away,28
13981579,73.0,-14,away,14
13981579,74.0,-28,away,28
13981579,75.0,-20,away,20
13981579,76.0,-23,away,23
13981579,77.0,60,home,60
13981579,78.0,23,home,23
13981579,79.0,38,home,38
13981579,80.0,30,home,30
13981579,81.0,15,home,15
13981579,82.0,6,home,6
13981579,83.0,-6,away,6
13981579,84.0,-7,away,7
13981579,85.0,-16,away,16
13981579,86.0,-17,away,17
13981579,87.0,-15,away,15
13981579,88.0,-69,away,69
13981579,89.0,-32,away,32
13981579,90.0,-23,away,23
13981579,90.5,-24,away,24
