match_id,minute,momentum_value,dominant_team,abs_value
14083180,1.0,3,home,3
14083180,2.0,5,home,5
14083180,3.0,6,home,6
14083180,4.0,1,home,1
14083180,5.0,5,home,5
14083180,6.0,7,home,7
14083180,7.0,-14,away,14
14083180,8.0,-2,away,2
14083180,9.0,18,home,18
14083180,10.0,9,home,9
14083180,11.0,4,home,4
14083180,12.0,27,home,27
14083180,13.0,10,home,10
14083180,14.0,-12,away,12
14083180,15.0,-34,away,34
14083180,16.0,-19,away,19
14083180,17.0,19,home,19
14083180,18.0,-17,away,17
14083180,19.0,-3,away,3
14083180,20.0,5,home,5
14083180,21.0,26,home,26
14083180,22.0,71,home,71
14083180,23.0,59,home,59
14083180,24.0,61,home,61
14083180,25.0,45,home,45
14083180,26.0,57,home,57
14083180,27.0,36,home,36
14083180,28.0,14,home,14
14083180,29.0,64,home,64
14083180,30.0,79,home,79
14083180,31.0,16,home,16
14083180,32.0,-20,away,20
14083180,33.0,-11,away,11
14083180,34.0,-23,away,23
14083180,35.0,-25,away,25
14083180,36.0,-14,away,14
14083180,37.0,-8,away,8
14083180,38.0,15,home,15
14083180,39.0,25,home,25
14083180,40.0,15,home,15
14083180,41.0,-25,away,25
14083180,42.0,-19,away,19
14083180,43.0,-38,away,38
14083180,44.0,-20,away,20
14083180,45.0,-31,away,31
14083180,45.5,-33,away,33
14083180,46.0,-6,away,6
14083180,47.0,17,home,17
14083180,48.0,48,home,48
14083180,49.0,79,home,79
14083180,50.0,52,home,52
14083180,51.0,51,home,51
14083180,52.0,25,home,25
14083180,53.0,-35,away,35
14083180,54.0,-11,away,11
14083180,55.0,7,home,7
14083180,56.0,-21,away,21
14083180,57.0,-19,away,19
14083180,58.0,-29,away,29
14083180,59.0,-13,away,13
14083180,60.0,15,home,15
14083180,61.0,20,home,20
14083180,62.0,8,home,8
14083180,63.0,1,home,1
14083180,64.0,2,home,2
14083180,65.0,-3,away,3
14083180,66.0,6,home,6
14083180,67.0,8,home,8
14083180,68.0,28,home,28
14083180,69.0,28,home,28
14083180,70.0,67,home,67
14083180,71.0,73,home,73
14083180,72.0,47,home,47
14083180,73.0,32,home,32
14083180,74.0,23,home,23
14083180,75.0,15,home,15
14083180,76.0,21,home,21
14083180,77.0,4,home,4
14083180,78.0,40,home,40
14083180,79.0,24,home,24
14083180,80.0,21,home,21
14083180,81.0,13,home,13
14083180,82.0,-31,away,31
14083180,83.0,-12,away,12
14083180,84.0,-40,away,40
14083180,85.0,-22,away,22
14083180,86.0,-9,away,9
14083180,87.0,5,home,5
14083180,88.0,23,home,23
14083180,89.0,31,home,31
14083180,90.0,41,home,41
14083180,90.5,74,home,74
