match_id,minute,momentum_value,dominant_team,abs_value
15252323,1.0,1,home,1
15252323,2.0,2,home,2
15252323,3.0,2,home,2
15252323,4.0,-6,away,6
15252323,5.0,-12,away,12
15252323,6.0,8,home,8
15252323,7.0,22,home,22
15252323,8.0,18,home,18
15252323,9.0,16,home,16
15252323,10.0,-14,away,14
15252323,11.0,42,home,42
15252323,12.0,-36,away,36
15252323,13.0,-14,away,14
15252323,14.0,45,home,45
15252323,15.0,20,home,20
15252323,16.0,37,home,37
15252323,17.0,12,home,12
15252323,18.0,8,home,8
15252323,19.0,2,home,2
15252323,20.0,5,home,5
15252323,21.0,20,home,20
15252323,22.0,-21,away,21
15252323,23.0,-11,away,11
15252323,24.0,12,home,12
15252323,25.0,34,home,34
15252323,26.0,19,home,19
15252323,27.0,11,home,11
15252323,28.0,11,home,11
15252323,29.0,29,home,29
15252323,30.0,57,home,57
15252323,31.0,47,home,47
15252323,32.0,37,home,37
15252323,33.0,16,home,16
15252323,34.0,-8,away,8
15252323,35.0,-10,away,10
15252323,36.0,-5,away,5
15252323,37.0,-24,away,24
15252323,38.0,45,home,45
15252323,39.0,49,home,49
15252323,40.0,49,home,49
15252323,41.0,31,home,31
15252323,42.0,30,home,30
15252323,43.0,43,home,43
15252323,44.0,25,home,25
15252323,45.0,17,home,17
15252323,45.5,-1,away,1
15252323,46.0,3,home,3
15252323,47.0,5,home,5
15252323,48.0,94,home,94
15252323,49.0,59,home,59
15252323,50.0,67,home,67
15252323,51.0,46,home,46
15252323,52.0,21,home,21
15252323,53.0,-54,away,54
15252323,54.0,-50,away,50
15252323,55.0,-20,away,20
15252323,56.0,-18,away,18
15252323,57.0,25,home,25
15252323,58.0,8,home,8
15252323,59.0,-23,away,23
15252323,60.0,-16,away,16
15252323,61.0,-13,away,13
15252323,62.0,-21,away,21
15252323,63.0,-20,away,20
15252323,64.0,-15,away,15
15252323,65.0,-21,away,21
15252323,66.0,-21,away,21
15252323,67.0,33,home,33
15252323,68.0,35,home,35
15252323,69.0,18,home,18
15252323,70.0,8,home,8
15252323,71.0,-18,away,18
15252323,72.0,-52,away,52
15252323,73.0,-36,away,36
15252323,74.0,23,home,23
15252323,75.0,-39,away,39
15252323,76.0,-23,away,23
15252323,77.0,-48,away,48
15252323,78.0,-10,away,10
15252323,79.0,-4,away,4
15252323,80.0,13,home,13
15252323,81.0,12,home,12
15252323,82.0,1,home,1
15252323,83.0,9,home,9
15252323,84.0,11,home,11
15252323,85.0,10,home,10
15252323,86.0,-9,away,9
15252323,87.0,-4,away,4
15252323,88.0,-5,away,5
15252323,89.0,-7,away,7
15252323,90.0,18,home,18
15252323,90.5,10,home,10
