match_id,company,初盘-主队,初盘盘口,初盘-客队,终盘-主队,终盘盘口,终盘-客队
2789293,澳*,0.90,平手/半球,0.94,0.84,平手,1.00
2789293,Crow*,0.92,平手/半球,0.96,0.89,平手,0.99
2789293,36*,0.85,平手/半球,1.00,0.85,平手,1.00
2789293,易*,0.94,平手/半球,0.97,0.90,平手,1.03
2789293,伟*,0.85,平手/半球,0.94,0.87,平手,1.00
2789293,明*,0.84,平手/半球,1.04,0.90,平手,1.04
2789293,金宝*,0.93,平手/半球,0.97,0.90,平手,1.02
2789293,12*,0.84,平手/半球,1.04,0.90,平手,1.04
2789293,利*,1.05,半球,0.85,0.92,平手,1.02
2789293,盈*维,0.87,平手/半球,1.01,0.92,平手,1.00
2789293,18*,0.75,平手/半球,1.03,0.85,平手,0.95
2789293,平*,0.85,平手/半球,0.97,0.91,平手,1.02
2789293,香港马*,0.98,平手/半球,0.79,0.82,平手,1.00
2789293,威*,0.77,平手/半球,0.83,0.73,平手,0.90
2789293,Interwet*,1.20,半球,0.65,0.83,平手,0.90
2789293,1x*,0.60,平手,1.55,0.90,平手,0.99
