match_id,company_id,时间,比分,主队胜,和局,客队胜,变化时间,状态
2894738,8,99,1-1,15.00,1.03,51.00,12-24 06:00,滚
2894738,8,99,1-1,13.00,1.04,51.00,12-24 06:00,滚
2894738,8,98,1-1,11.00,1.05,51.00,12-24 05:59,滚
2894738,8,98,1-1,13.00,1.03,41.00,12-24 05:59,滚
2894738,8,98,1-1,13.00,1.04,41.00,12-24 05:59,滚
2894738,8,97,1-1,12.00,1.04,41.00,12-24 05:58,滚
2894738,8,97,1-1,11.00,1.05,41.00,12-24 05:58,滚
2894738,8,96,1-1,10.00,1.06,41.00,12-24 05:58,滚
2894738,8,96,1-1,9.50,1.06,41.00,12-24 05:57,滚
2894738,8,95,1-1,11.00,1.05,41.00,12-24 05:57,滚
2894738,8,95,1-1,10.00,1.06,41.00,12-24 05:57,滚
2894738,8,95,1-1,9.50,1.07,41.00,12-24 05:56,滚
2894738,8,95,1-1,9.00,1.07,41.00,12-24 05:56,滚
2894738,8,94,1-1,9.00,1.08,41.00,12-24 05:56,滚
2894738,8,94,1-1,8.50,1.09,34.00,12-24 05:56,滚
2894738,8,94,1-1,8.00,1.10,34.00,12-24 05:55,滚
2894738,8,94,1-1,7.50,1.10,34.00,12-24 05:55,滚
2894738,8,94,1-1,7.50,1.11,34.00,12-24 05:55,滚
2894738,8,93,1-0,1.06,10.00,251.00,12-24 05:55,滚
2894738,8,93,1-0,1.07,9.00,201.00,12-24 05:54,滚
2894738,8,93,1-0,1.03,15.00,451.00,12-24 05:54,滚
2894738,8,92,1-0,1.03,15.00,401.00,12-24 05:54,滚
2894738,8,92,1-0,1.03,13.00,351.00,12-24 05:53,滚
2894738,8,91,1-0,1.04,13.00,301.00,12-24 05:53,滚
2894738,8,90,1-0,1.04,13.00,251.00,12-24 05:52,滚
2894738,8,90,1-0,1.05,11.00,251.00,12-24 05:51,滚
2894738,8,88,1-0,1.05,11.00,201.00,12-24 05:50,滚
2894738,8,88,1-0,1.05,11.00,151.00,12-24 05:49,滚
2894738,8,87,1-0,1.06,10.00,151.00,12-24 05:49,滚
2894738,8,87,1-0,1.05,11.00,151.00,12-24 05:49,滚
2894738,8,87,1-0,1.06,10.00,126.00,12-24 05:49,滚
2894738,8,87,1-0,1.06,10.00,151.00,12-24 05:49,滚
2894738,8,87,1-0,1.06,10.00,126.00,12-24 05:48,滚
2894738,8,87,1-0,1.07,9.00,126.00,12-24 05:48,滚
2894738,8,87,1-0,1.06,10.00,151.00,12-24 05:48,滚
2894738,8,86,1-0,1.06,10.00,126.00,12-24 05:47,滚
2894738,8,86,1-0,1.08,8.00,101.00,12-24 05:47,滚
2894738,8,85,1-0,1.07,9.00,126.00,12-24 05:47,滚
2894738,8,85,1-0,1.07,9.00,101.00,12-24 05:47,滚
2894738,8,83,1-0,1.08,8.00,101.00,12-24 05:45,滚
2894738,8,83,1-0,1.08,8.00,81.00,12-24 05:45,滚
2894738,8,83,1-0,1.07,9.00,101.00,12-24 05:45,滚
2894738,8,83,1-0,1.08,8.00,101.00,12-24 05:44,滚
2894738,8,83,1-0,1.08,8.00,81.00,12-24 05:44,滚
2894738,8,82,1-0,1.11,6.50,67.00,12-24 05:44,滚
2894738,8,82,1-0,1.08,8.00,81.00,12-24 05:44,滚
2894738,8,82,1-0,1.07,8.50,101.00,12-24 05:43,滚
2894738,8,81,1-0,1.07,8.50,81.00,12-24 05:42,滚
2894738,8,81,1-0,1.08,8.00,81.00,12-24 05:42,滚
2894738,8,81,1-0,1.07,9.00,81.00,12-24 05:42,滚
2894738,8,81,1-0,1.04,13.00,151.00,12-24 05:42,滚
2894738,8,81,1-0,1.05,11.00,126.00,12-24 05:41,滚
2894738,8,80,1-0,1.05,11.00,101.00,12-24 05:41,滚
2894738,8,80,1-0,1.05,11.00,126.00,12-24 05:41,滚
2894738,8,80,1-0,1.05,11.00,101.00,12-24 05:40,滚
2894738,8,79,0-0,1.07,8.50,51.00,12-24 05:40,滚
2894738,8,79,0-0,2.25,1.80,15.00,12-24 05:40,滚
2894738,8,79,0-0,2.20,1.83,15.00,12-24 05:39,滚
2894738,8,78,0-0,2.25,1.80,15.00,12-24 05:39,滚
2894738,8,78,0-0,2.30,1.80,13.00,12-24 05:39,滚
2894738,8,77,0-0,2.20,1.83,17.00,12-24 05:38,滚
2894738,8,77,0-0,2.20,1.83,15.00,12-24 05:38,滚
2894738,8,77,0-0,2.10,1.83,19.00,12-24 05:38,滚
2894738,8,77,0-0,2.10,1.90,17.00,12-24 05:38,滚
2894738,8,77,0-0,2.10,1.90,15.00,12-24 05:37,滚
