match_id,company_id,时间,比分,大球,盘口,小球,变化时间,状态
2804454,8,时间,比分,大球,进球数,小球,变化时间,状态
2804454,8,91,[1:2],10.00,3.5,0.05,12-23 05:51,滚
2804454,8,91,[1:2],9.50,3.5,0.05,12-23 05:51,滚
2804454,8,91,[1:2],8.50,3.5,0.06,12-23 05:51,滚
2804454,8,91,[1:2],7.25,3.5,0.08,12-23 05:50,滚
2804454,8,91,[1:2],8.00,3.5,0.07,12-23 05:50,滚
2804454,8,90,[1:2],7.75,3.5,0.07,12-23 05:50,滚
2804454,8,90,[1:2],7.25,3.5,0.08,12-23 05:50,滚
2804454,8,90,[1:2],7.00,3.5,0.09,12-23 05:50,滚
2804454,8,90,[1:2],5.10,3.5,0.13,12-23 05:50,滚
2804454,8,89,[1:2],4.90,3.5,0.14,12-23 05:49,滚
2804454,8,89,[1:2],4.60,3.5,0.15,12-23 05:49,滚
2804454,8,89,[1:2],4.30,3.5,0.16,12-23 05:48,滚
2804454,8,88,[1:2],4.10,3.5,0.17,12-23 05:48,滚
2804454,8,88,[1:2],3.90,3.5,0.17,12-23 05:48,滚
2804454,8,88,[1:2],3.80,3.5,0.18,12-23 05:48,滚
2804454,8,87,[1:2],3.65,3.5,0.19,12-23 05:47,滚
2804454,8,87,[1:2],3.50,3.5,0.20,12-23 05:47,滚
2804454,8,87,[1:2],3.35,3.5,0.21,12-23 05:47,滚
2804454,8,86,[1:2],3.25,3.5,0.22,12-23 05:46,滚
2804454,8,86,[1:2],3.20,3.5,0.22,12-23 05:46,滚
2804454,8,86,[1:2],3.10,3.5,0.23,12-23 05:46,滚
2804454,8,86,[1:2],3.00,3.5,0.24,12-23 05:46,滚
2804454,8,85,[1:2],2.90,3.5,0.25,12-23 05:45,滚
2804454,8,85,[1:2],2.80,3.5,0.26,12-23 05:45,滚
2804454,8,85,[1:2],2.90,3.5,0.25,12-23 05:45,滚
2804454,8,85,[1:2],2.65,3.5,0.27,12-23 05:44,滚
2804454,8,84,[1:2],2.60,3.5,0.28,12-23 05:44,滚
2804454,8,84,[1:2],2.50,3.5,0.30,12-23 05:43,滚
2804454,8,83,[1:2],2.35,3.5,0.32,12-23 05:43,滚
2804454,8,83,[1:2],2.50,3.5,0.30,12-23 05:43,滚
2804454,8,83,[1:2],2.35,3.5,0.32,12-23 05:43,滚
2804454,8,83,[1:2],2.50,3.5,0.30,12-23 05:43,滚
2804454,8,82,[1:2],2.35,3.5,0.32,12-23 05:42,滚
2804454,8,82,[1:2],2.10,3.5,0.37,12-23 05:42,滚
2804454,8,82,[1:2],2.25,3.5,0.35,12-23 05:42,滚
2804454,8,82,[1:2],2.00,3.5,0.40,12-23 05:42,滚
2804454,8,81,[1:2],1.90,3.5,0.42,12-23 05:41,滚
2804454,8,81,[1:2],1.80,3.5,0.45,12-23 05:41,滚
2804454,8,81,[1:2],1.90,3.5,0.42,12-23 05:41,滚
2804454,8,81,[1:2],1.80,3.5,0.45,12-23 05:41,滚
2804454,8,81,[1:2],1.90,3.5,0.42,12-23 05:41,滚
2804454,8,81,[1:2],1.80,3.5,0.45,12-23 05:40,滚
2804454,8,80,[1:2],1.70,3.5,0.47,12-23 05:40,滚
2804454,8,80,[1:2],1.65,3.5,0.50,12-23 05:40,滚
2804454,8,79,[1:2],1.55,3.5,0.52,12-23 05:39,滚
2804454,8,79,[1:2],1.45,3.5,0.57,12-23 05:39,滚
2804454,8,79,[1:2],1.35,3.5,0.62,12-23 05:39,滚
2804454,8,78,[1:2],1.30,3.5,0.65,12-23 05:38,滚
2804454,8,77,[1:2],1.25,3.5,0.67,12-23 05:37,滚
2804454,8,77,[1:2],1.20,3.5,0.70,12-23 05:37,滚
2804454,8,77,[1:2],1.15,3.5,0.72,12-23 05:37,滚
2804454,8,76,[1:2],1.12,3.5,0.75,12-23 05:36,滚
2804454,8,76,[1:2],1.20,3.5,0.70,12-23 05:36,滚
2804454,8,76,[1:2],1.12,3.5,0.75,12-23 05:36,滚
2804454,8,76,[1:2],1.15,3.5,0.72,12-23 05:36,滚
2804454,8,75,[1:2],1.12,3.5,0.75,12-23 05:35,滚
2804454,8,75,[1:2],1.10,3.5,0.77,12-23 05:35,滚
2804454,8,75,[1:2],1.12,3.5,0.75,12-23 05:35,滚
2804454,8,75,[1:2],1.10,3.5,0.77,12-23 05:35,滚
2804454,8,74,[1:2],1.05,3.5,0.80,12-23 05:34,滚
2804454,8,74,[1:2],1.02,3.5,0.82,12-23 05:34,滚
2804454,8,74,[1:2],1.05,3.5,0.80,12-23 05:34,滚
2804454,8,73,[1:2],1.02,3.5,0.82,12-23 05:33,滚
2804454,8,73,[1:2],1.00,3.5,0.85,12-23 05:33,滚
2804454,8,73,[1:2],0.97,3.5,0.87,12-23 05:33,滚
2804454,8,72,[1:2],1.00,3.5,0.85,12-23 05:32,滚
2804454,8,72,[1:2],0.97,3.5,0.87,12-23 05:32,滚
2804454,8,72,[1:2],1.00,3.5,0.85,12-23 05:32,滚
2804454,8,71,[1:2],0.97,3.5,0.87,12-23 05:31,滚
2804454,8,71,[1:2],0.92,3.5,0.92,12-23 05:31,滚
2804454,8,71,[1:2],0.90,3.5,0.95,12-23 05:31,滚
2804454,8,70,[1:2],0.87,3.5,0.97,12-23 05:30,滚
2804454,8,70,[1:2],0.85,3.5,1.00,12-23 05:30,滚
2804454,8,70,[1:2],0.82,3.5,1.02,12-23 05:29,滚
2804454,8,69,[1:2],0.80,3.5,1.05,12-23 05:29,滚
2804454,8,68,[1:2],0.85,3.5,1.00,12-23 05:28,滚
2804454,8,68,[1:2],0.82,3.5,1.02,12-23 05:28,滚
2804454,8,68,[1:2],0.80,3.5,1.05,12-23 05:28,滚
2804454,8,68,[1:2],0.82,3.5,1.02,12-23 05:27,滚
2804454,8,67,[1:2],0.80,3.5,1.05,12-23 05:27,滚
2804454,8,67,[1:2],0.77,3.5,1.10,12-23 05:27,滚
2804454,8,67,[1:2],0.75,3.5,1.12,12-23 05:27,滚
2804454,8,67,[1:2],0.80,3.5,1.05,12-23 05:27,滚
2804454,8,66,[1:2],0.77,3.5,1.10,12-23 05:26,滚
2804454,8,66,[1:2],1.10,3.5/4,0.77,12-23 05:26,滚
2804454,8,66,[1:2],1.05,3.5/4,0.80,12-23 05:26,滚
2804454,8,66,[1:2],1.10,3.5/4,0.77,12-23 05:25,滚
2804454,8,65,[1:2],1.05,3.5/4,0.80,12-23 05:25,滚
2804454,8,65,[1:2],1.00,3.5/4,0.85,12-23 05:25,滚
2804454,8,64,[1:2],1.05,3.5/4,0.80,12-23 05:24,滚
2804454,8,64,[1:2],1.02,3.5/4,0.82,12-23 05:24,滚
2804454,8,64,[1:2],1.00,3.5/4,0.85,12-23 05:24,滚
2804454,8,64,[1:2],1.02,3.5/4,0.82,12-23 05:23,滚
2804454,8,63,[1:2],1.00,3.5/4,0.85,12-23 05:23,滚
2804454,8,63,[1:2],0.97,3.5/4,0.87,12-23 05:23,滚
2804454,8,63,[1:2],1.00,3.5/4,0.85,12-23 05:23,滚
2804454,8,62,[1:2],0.97,3.5/4,0.87,12-23 05:22,滚
2804454,8,62,[1:2],0.95,3.5/4,0.90,12-23 05:22,滚
2804454,8,62,[1:2],0.90,3.5/4,0.95,12-23 05:22,滚
2804454,8,62,[1:2],0.95,3.5/4,0.90,12-23 05:22,滚
2804454,8,61,[1:2],0.92,3.5/4,0.92,12-23 05:21,滚
2804454,8,61,[1:2],0.90,3.5/4,0.95,12-23 05:21,滚
2804454,8,61,[1:2],0.87,3.5/4,0.97,12-23 05:21,滚
2804454,8,60,[1:2],0.82,3.5/4,1.02,12-23 05:20,滚
2804454,8,60,[1:2],0.77,3.5/4,1.10,12-23 05:20,滚
2804454,8,60,[1:2],0.80,3.5/4,1.05,12-23 05:20,滚
2804454,8,60,[1:2],0.77,3.5/4,1.10,12-23 05:19,滚
2804454,8,59,[1:2],0.75,3.5/4,1.12,12-23 05:19,滚
2804454,8,59,[1:2],0.77,3.5/4,1.10,12-23 05:19,滚
2804454,8,59,[1:2],0.80,3.5/4,1.05,12-23 05:19,滚
2804454,8,59,[1:2],0.77,3.5/4,1.10,12-23 05:19,滚
2804454,8,59,[1:2],0.75,3.5/4,1.12,12-23 05:19,滚
2804454,8,59,[1:2],0.77,3.5/4,1.10,12-23 05:19,滚
2804454,8,58,[1:2],1.20,4,0.70,12-23 05:18,滚
2804454,8,58,[1:2],0.75,3.5/4,1.12,12-23 05:18,滚
2804454,8,58,[1:2],0.72,3.5/4,1.15,12-23 05:18,滚
2804454,8,58,[1:2],0.70,3.5/4,1.20,12-23 05:18,滚
2804454,8,57,[1:2],0.72,3.5/4,1.15,12-23 05:17,滚
2804454,8,57,[1:2],0.70,3.5/4,1.20,12-23 05:17,滚
2804454,8,57,[1:2],0.82,4,1.02,12-23 05:17,滚
2804454,8,56,[1:2],1.02,4,0.82,12-23 05:16,滚
2804454,8,56,[1:2],1.00,4,0.85,12-23 05:16,滚
2804454,8,55,[1:2],0.97,4,0.87,12-23 05:15,滚
2804454,8,55,[1:2],0.92,4,0.92,12-23 05:15,滚
2804454,8,54,[1:2],0.95,4,0.90,12-23 05:14,滚
2804454,8,54,[1:2],0.92,4,0.92,12-23 05:13,滚
2804454,8,53,[1:2],0.95,4,0.90,12-23 05:13,滚
2804454,8,53,[1:2],0.97,4,0.87,12-23 05:13,滚
2804454,8,53,[1:2],0.92,4,0.92,12-23 05:13,滚
2804454,8,53,[1:2],0.97,4,0.87,12-23 05:12,滚
2804454,8,52,[1:2],0.90,4,0.95,12-23 05:12,滚
2804454,8,52,[1:2],1.02,4,0.82,12-23 05:12,滚
2804454,8,52,[1:1],0.97,4,0.87,12-23 05:11,滚
2804454,8,50,[1:1],0.97,3,0.87,12-23 05:10,滚
2804454,8,50,[1:1],0.95,3,0.90,12-23 05:10,滚
2804454,8,49,[1:1],0.92,3,0.92,12-23 05:09,滚
2804454,8,49,[1:1],0.90,3,0.95,12-23 05:09,滚
2804454,8,48,[1:1],0.92,3,0.92,12-23 05:08,滚
2804454,8,47,[1:1],0.90,3,0.95,12-23 05:07,滚
2804454,8,47,[1:1],0.87,3,0.97,12-23 05:07,滚
2804454,8,47,[1:1],0.85,3,1.00,12-23 05:07,滚
2804454,8,47,[1:1],0.82,3,1.02,12-23 05:07,滚
2804454,8,47,[1:1],0.80,3,1.05,12-23 05:06,滚
2804454,8,46,[1:1],0.85,3,1.00,12-23 05:06,滚
2804454,8,45,[1:1],0.82,3,1.02,12-23 05:05,滚
2804454,8,45,[1:1],0.80,3,1.05,12-23 05:05,滚
2804454,8,中场,[1:1],0.77,3,1.10,12-23 04:49,滚
2804454,8,45,[1:1],0.75,3,1.12,12-23 04:49,滚
2804454,8,45,[1:1],1.12,3/3.5,0.75,12-23 04:47,滚
2804454,8,45,[1:1],1.10,3/3.5,0.77,12-23 04:47,滚
2804454,8,44,[1:1],1.05,3/3.5,0.80,12-23 04:47,滚
2804454,8,44,[1:1],1.10,3/3.5,0.77,12-23 04:47,滚
2804454,8,44,[1:0],1.05,3/3.5,0.80,12-23 04:46,滚
2804454,8,43,[1:0],1.00,2/2.5,0.85,12-23 04:46,滚
2804454,8,43,[1:0],0.97,2/2.5,0.87,12-23 04:45,滚
2804454,8,43,[1:0],1.00,2/2.5,0.85,12-23 04:45,滚
2804454,8,42,[1:0],1.02,2/2.5,0.82,12-23 04:45,滚
2804454,8,42,[1:0],1.00,2/2.5,0.85,12-23 04:45,滚
2804454,8,42,[1:0],0.97,2/2.5,0.87,12-23 04:44,滚
2804454,8,41,[1:0],1.00,2/2.5,0.85,12-23 04:44,滚
2804454,8,41,[1:0],0.97,2/2.5,0.87,12-23 04:43,滚
2804454,8,41,[1:0],0.92,2/2.5,0.92,12-23 04:43,滚
2804454,8,41,[1:0],0.97,2/2.5,0.87,12-23 04:43,滚
2804454,8,40,[1:0],0.92,2/2.5,0.92,12-23 04:43,滚
2804454,8,40,[1:0],0.95,2/2.5,0.90,12-23 04:43,滚
2804454,8,40,[1:0],0.92,2/2.5,0.92,12-23 04:43,滚
2804454,8,40,[1:0],0.97,2/2.5,0.87,12-23 04:42,滚
2804454,8,40,[1:0],0.95,2/2.5,0.90,12-23 04:42,滚
2804454,8,40,[1:0],0.97,2/2.5,0.87,12-23 04:42,滚
2804454,8,39,[1:0],0.95,2/2.5,0.90,12-23 04:42,滚
2804454,8,39,[1:0],0.97,2/2.5,0.87,12-23 04:42,滚
2804454,8,37,[0:0],0.92,1/1.5,0.92,12-23 04:39,滚
2804454,8,36,[0:0],0.87,1/1.5,0.97,12-23 04:38,滚
2804454,8,36,[0:0],0.90,1/1.5,0.95,12-23 04:38,滚
2804454,8,35,[0:0],0.87,1/1.5,0.97,12-23 04:38,滚
2804454,8,35,[0:0],0.85,1/1.5,1.00,12-23 04:37,滚
2804454,8,34,[0:0],0.82,1/1.5,1.02,12-23 04:36,滚
2804454,8,34,[0:0],0.85,1/1.5,1.00,12-23 04:36,滚
2804454,8,33,[0:0],0.82,1/1.5,1.02,12-23 04:36,滚
2804454,8,33,[0:0],0.80,1/1.5,1.05,12-23 04:35,滚
2804454,8,32,[0:0],1.10,1.5,0.77,12-23 04:34,滚
2804454,8,31,[0:0],1.05,1.5,0.80,12-23 04:34,滚
2804454,8,31,[0:0],1.02,1.5,0.82,12-23 04:33,滚
2804454,8,31,[0:0],1.00,1.5,0.85,12-23 04:33,滚
2804454,8,31,[0:0],1.02,1.5,0.82,12-23 04:33,滚
2804454,8,30,[0:0],1.05,1.5,0.80,12-23 04:33,滚
2804454,8,30,[0:0],1.02,1.5,0.82,12-23 04:33,滚
2804454,8,30,[0:0],1.00,1.5,0.85,12-23 04:32,滚
2804454,8,29,[0:0],1.02,1.5,0.82,12-23 04:32,滚
2804454,8,28,[0:0],1.00,1.5,0.85,12-23 04:31,滚
2804454,8,28,[0:0],1.02,1.5,0.82,12-23 04:31,滚
2804454,8,28,[0:0],1.00,1.5,0.85,12-23 04:30,滚
2804454,8,28,[0:0],1.02,1.5,0.82,12-23 04:30,滚
2804454,8,27,[0:0],1.00,1.5,0.85,12-23 04:29,滚
2804454,8,26,[0:0],0.97,1.5,0.87,12-23 04:28,滚
2804454,8,25,[0:0],0.95,1.5,0.90,12-23 04:28,滚
2804454,8,25,[0:0],0.92,1.5,0.92,12-23 04:27,滚
2804454,8,25,[0:0],0.97,1.5,0.87,12-23 04:27,滚
2804454,8,24,[0:0],0.95,1.5,0.90,12-23 04:27,滚
2804454,8,23,[0:0],0.92,1.5,0.92,12-23 04:26,滚
2804454,8,23,[0:0],0.87,1.5,0.97,12-23 04:26,滚
2804454,8,23,[0:0],0.92,1.5,0.92,12-23 04:25,滚
2804454,8,23,[0:0],0.80,1.5,1.05,12-23 04:25,滚
2804454,8,23,[0:0],0.82,1.5,1.02,12-23 04:25,滚
2804454,8,21,[0:0],0.87,1.5,0.97,12-23 04:24,滚
2804454,8,21,[0:0],0.85,1.5,1.00,12-23 04:23,滚
2804454,8,21,[0:0],0.87,1.5,0.97,12-23 04:23,滚
