match_id,company,初盘-主队,初盘盘口,初盘-客队,终盘-主队,终盘盘口,终盘-客队
2804454,澳*,0.84,半球/一球,1.00,0.84,半球,1.00
2804454,Crow*,0.93,半球/一球,0.95,0.89,半球,0.99
2804454,36*,0.98,半球/一球,0.88,0.87,半球,0.97
2804454,易*,0.85,半球/一球,1.06,0.88,半球,0.99
2804454,伟*,0.94,半球/一球,0.92,0.87,半球,1.00
2804454,明*,1.03,半球/一球,0.85,0.93,半球,1.01
2804454,金宝*,0.94,半球/一球,0.96,0.90,半球,1.02
2804454,12*,1.03,半球/一球,0.85,0.93,半球,1.01
2804454,利*,1.03,半球/一球,0.87,0.91,半球,1.03
2804454,盈*维,0.98,半球/一球,0.90,0.90,半球,1.02
2804454,18*,0.90,半球/一球,0.86,0.85,半球,0.96
2804454,平*,0.99,半球/一球,0.83,0.91,半球,1.00
2804454,香港马*,0.98,半球/一球,0.79,1.04,半球/一球,0.79
2804454,威*,0.96,半球/一球,0.78,0.74,半球,0.90
2804454,Interwet*,0.73,半球,1.10,0.85,半球,0.95
2804454,1x*,2.13,球半,0.44,1.17,半球/一球,0.76
