match_id,company_id,时间,比分,主队,盘口,客队,变化时间,状态
2894738,8,时间,比分,阿森纳,盘,水晶宫,变化时间,状态
2894738,8,94,[1:1],0.15,平手,4.60,12-24 05:55,滚
2894738,8,93,[1:0],0.65,平手,1.30,12-24 05:55,滚
2894738,8,93,[1:0],0.62,平手,1.35,12-24 05:55,滚
2894738,8,93,[1:0],0.75,平手,1.12,12-24 05:54,滚
2894738,8,92,[1:0],0.35,平手,2.25,12-24 05:53,滚
2894738,8,91,[1:0],0.32,平手,2.35,12-24 05:53,滚
2894738,8,91,[1:0],2.25,平手/半球,0.35,12-24 05:52,滚
2894738,8,90,[1:0],2.10,平手/半球,0.37,12-24 05:52,滚
2894738,8,90,[1:0],2.25,平手/半球,0.35,12-24 05:51,滚
2894738,8,89,[1:0],2.10,平手/半球,0.37,12-24 05:51,滚
2894738,8,89,[1:0],2.00,平手/半球,0.40,12-24 05:51,滚
2894738,8,89,[1:0],2.10,平手/半球,0.37,12-24 05:50,滚
2894738,8,88,[1:0],2.00,平手/半球,0.40,12-24 05:50,滚
2894738,8,88,[1:0],1.90,平手/半球,0.42,12-24 05:49,滚
2894738,8,87,[1:0],1.80,平手/半球,0.45,12-24 05:49,滚
2894738,8,87,[1:0],1.90,平手/半球,0.42,12-24 05:49,滚
2894738,8,87,[1:0],1.80,平手/半球,0.45,12-24 05:48,滚
2894738,8,86,[1:0],1.70,平手/半球,0.47,12-24 05:48,滚
2894738,8,86,[1:0],1.80,平手/半球,0.45,12-24 05:48,滚
2894738,8,85,[1:0],1.70,平手/半球,0.47,12-24 05:47,滚
2894738,8,85,[1:0],1.55,平手/半球,0.52,12-24 05:47,滚
2894738,8,85,[1:0],1.65,平手/半球,0.50,12-24 05:46,滚
2894738,8,85,[1:0],1.70,平手/半球,0.47,12-24 05:46,滚
2894738,8,84,[1:0],1.65,平手/半球,0.50,12-24 05:46,滚
2894738,8,84,[1:0],1.55,平手/半球,0.52,12-24 05:46,滚
2894738,8,84,[1:0],1.65,平手/半球,0.50,12-24 05:45,滚
2894738,8,83,[1:0],1.55,平手/半球,0.52,12-24 05:44,滚
2894738,8,83,[1:0],1.45,平手/半球,0.57,12-24 05:44,滚
2894738,8,82,[1:0],1.55,平手/半球,0.52,12-24 05:44,滚
2894738,8,82,[1:0],1.40,平手/半球,0.60,12-24 05:44,滚
2894738,8,82,[1:0],1.35,平手/半球,0.62,12-24 05:44,滚
2894738,8,82,[1:0],1.40,平手/半球,0.60,12-24 05:43,滚
2894738,8,81,[1:0],1.15,平手/半球,0.72,12-24 05:43,滚
2894738,8,81,[1:0],1.20,平手/半球,0.70,12-24 05:42,滚
2894738,8,81,[1:0],1.25,平手/半球,0.67,12-24 05:42,滚
2894738,8,81,[1:0],1.20,平手/半球,0.70,12-24 05:42,滚
2894738,8,81,[1:0],1.05,平手/半球,0.80,12-24 05:42,滚
2894738,8,81,[1:0],0.85,平手/半球,1.00,12-24 05:42,滚
2894738,8,80,[1:0],0.82,平手/半球,1.02,12-24 05:41,滚
2894738,8,80,[1:0],0.80,平手/半球,1.05,12-24 05:41,滚
2894738,8,80,[1:0],0.82,平手/半球,1.02,12-24 05:41,滚
2894738,8,79,[0:0],0.80,平手/半球,1.05,12-24 05:40,滚
2894738,8,79,[0:0],0.70,平手/半球,1.20,12-24 05:40,滚
2894738,8,79,[0:0],0.67,平手/半球,1.25,12-24 05:39,滚
2894738,8,78,[0:0],0.70,平手/半球,1.20,12-24 05:39,滚
2894738,8,78,[0:0],0.75,平手/半球,1.12,12-24 05:39,滚
2894738,8,78,[0:0],1.25,半球,0.67,12-24 05:38,滚
2894738,8,77,[0:0],1.20,半球,0.70,12-24 05:38,滚
2894738,8,77,[0:0],1.15,半球,0.72,12-24 05:37,滚
2894738,8,77,[0:0],1.20,半球,0.70,12-24 05:37,滚
2894738,8,76,[0:0],1.12,半球,0.75,12-24 05:37,滚
2894738,8,76,[0:0],1.15,半球,0.72,12-24 05:37,滚
2894738,8,75,[0:0],1.10,半球,0.77,12-24 05:36,滚
2894738,8,75,[0:0],1.12,半球,0.75,12-24 05:36,滚
2894738,8,74,[0:0],1.10,半球,0.77,12-24 05:35,滚
2894738,8,74,[0:0],1.12,半球,0.75,12-24 05:35,滚
2894738,8,74,[0:0],1.10,半球,0.77,12-24 05:35,滚
2894738,8,74,[0:0],1.05,半球,0.80,12-24 05:35,滚
2894738,8,74,[0:0],1.10,半球,0.77,12-24 05:34,滚
2894738,8,73,[0:0],1.05,半球,0.80,12-24 05:34,滚
2894738,8,73,[0:0],1.10,半球,0.77,12-24 05:33,滚
2894738,8,72,[0:0],1.12,半球,0.75,12-24 05:33,滚
2894738,8,72,[0:0],1.10,半球,0.77,12-24 05:33,滚
2894738,8,71,[0:0],1.05,半球,0.80,12-24 05:31,滚
2894738,8,70,[0:0],1.02,半球,0.82,12-24 05:31,滚
2894738,8,70,[0:0],1.00,半球,0.85,12-24 05:31,滚
2894738,8,69,[0:0],0.97,半球,0.87,12-24 05:30,滚
2894738,8,69,[0:0],1.05,半球,0.80,12-24 05:29,滚
2894738,8,69,[0:0],1.02,半球,0.82,12-24 05:29,滚
2894738,8,68,[0:0],1.00,半球,0.85,12-24 05:29,滚
2894738,8,68,[0:0],0.97,半球,0.87,12-24 05:28,滚
2894738,8,67,[0:0],1.00,半球,0.85,12-24 05:28,滚
2894738,8,67,[0:0],0.97,半球,0.87,12-24 05:28,滚
2894738,8,67,[0:0],0.90,半球,0.95,12-24 05:27,滚
2894738,8,67,[0:0],0.92,半球,0.92,12-24 05:27,滚
2894738,8,66,[0:0],1.00,半球,0.85,12-24 05:27,滚
2894738,8,66,[0:0],0.97,半球,0.87,12-24 05:27,滚
2894738,8,66,[0:0],0.90,半球,0.95,12-24 05:26,滚
2894738,8,66,[0:0],0.87,半球,0.97,12-24 05:26,滚
2894738,8,65,[0:0],0.97,半球,0.87,12-24 05:26,滚
2894738,8,65,[0:0],0.95,半球,0.90,12-24 05:26,滚
2894738,8,65,[0:0],0.92,半球,0.92,12-24 05:25,滚
2894738,8,65,[0:0],0.95,半球,0.90,12-24 05:25,滚
2894738,8,65,[0:0],0.92,半球,0.92,12-24 05:25,滚
2894738,8,64,[0:0],0.87,半球,0.97,12-24 05:25,滚
2894738,8,64,[0:0],0.97,半球,0.87,12-24 05:25,滚
2894738,8,64,[0:0],0.92,半球,0.92,12-24 05:25,滚
2894738,8,64,[0:0],0.95,半球,0.90,12-24 05:24,滚
2894738,8,63,[0:0],0.92,半球,0.92,12-24 05:24,滚
2894738,8,63,[0:0],0.90,半球,0.95,12-24 05:24,滚
2894738,8,63,[0:0],0.82,半球,1.02,12-24 05:23,滚
2894738,8,62,[0:0],0.95,半球,0.90,12-24 05:23,滚
2894738,8,61,[0:0],0.87,半球,0.97,12-24 05:22,滚
2894738,8,61,[0:0],0.85,半球,1.00,12-24 05:21,滚
2894738,8,60,[0:0],0.82,半球,1.02,12-24 05:21,滚
2894738,8,59,[0:0],0.80,半球,1.05,12-24 05:20,滚
2894738,8,58,[0:0],0.77,半球,1.10,12-24 05:19,滚
2894738,8,57,[0:0],0.75,半球,1.12,12-24 05:18,滚
2894738,8,57,[0:0],1.12,半球/一球,0.75,12-24 05:18,滚
2894738,8,55,[0:0],0.80,半球,1.05,12-24 05:16,滚
2894738,8,55,[0:0],0.77,半球,1.10,12-24 05:15,滚
2894738,8,55,[0:0],0.80,半球,1.05,12-24 05:15,滚
2894738,8,54,[0:0],0.77,半球,1.10,12-24 05:15,滚
