match_id,company_id,时间,比分,主队胜,和局,客队胜,变化时间,状态
2894738,3,98,1-1,8.70,1.04,23.00,12-24 05:59,滚
2894738,3,98,1-1,9.00,1.04,23.00,12-24 05:59,滚
2894738,3,98,1-1,9.00,1.07,23.00,12-24 05:58,滚
2894738,3,98,1-1,9.00,1.07,26.00,12-24 05:58,滚
2894738,3,97,1-1,9.00,1.07,29.00,12-24 05:58,滚
2894738,3,96,1-1,9.00,1.07,31.00,12-24 05:57,滚
2894738,3,96,1-1,10.00,1.07,31.00,12-24 05:57,滚
2894738,3,95,1-1,9.70,1.10,29.00,12-24 05:56,滚
2894738,3,95,1-1,9.10,1.11,26.00,12-24 05:56,滚
2894738,3,94,1-0,1.03,9.00,91.00,12-24 05:55,滚
2894738,3,92,1-0,1.04,9.00,91.00,12-24 05:53,滚
2894738,3,92,1-0,1.04,9.00,76.00,12-24 05:53,滚
2894738,3,89,1-0,1.06,9.00,76.00,12-24 05:49,滚
2894738,3,88,1-0,1.07,9.00,76.00,12-24 05:49,滚
2894738,3,87,1-0,1.08,9.00,76.00,12-24 05:47,滚
2894738,3,86,1-0,1.08,8.00,51.00,12-24 05:47,滚
2894738,3,86,1-0,1.09,8.00,51.00,12-24 05:47,滚
2894738,3,84,1-0,1.09,8.00,46.00,12-24 05:45,滚
2894738,3,84,1-0,1.09,8.60,46.00,12-24 05:45,滚
2894738,3,84,1-0,1.09,9.00,51.00,12-24 05:44,滚
2894738,3,83,1-0,1.09,8.80,46.00,12-24 05:44,滚
2894738,3,82,1-0,1.09,8.70,46.00,12-24 05:43,滚
2894738,3,80,1-0,1.11,8.00,41.00,12-24 05:41,滚
2894738,3,78,0-0,2.20,1.82,10.00,12-24 05:39,滚
2894738,3,78,0-0,2.20,1.82,12.00,12-24 05:39,滚
2894738,3,77,0-0,2.20,1.86,12.00,12-24 05:37,滚
2894738,3,76,0-0,2.20,1.95,12.00,12-24 05:37,滚
2894738,3,76,0-0,2.12,1.87,15.00,12-24 05:37,滚
2894738,3,76,0-0,2.12,1.95,15.00,12-24 05:37,滚
2894738,3,75,0-0,2.12,1.95,13.50,12-24 05:36,滚
