match_id,company_id,时间,比分,主队胜,和局,客队胜,变化时间,状态
2912041,3,72,2-0,1.01,26.00,46.00,12-23 04:30,滚
2912041,3,69,2-0,1.01,23.00,46.00,12-23 04:26,滚
2912041,3,63,2-0,1.02,19.50,46.00,12-23 04:21,滚
2912041,3,58,2-0,1.03,19.00,46.00,12-23 04:16,滚
2912041,3,56,2-0,1.03,17.00,41.00,12-23 04:14,滚
2912041,3,54,1-0,1.25,4.95,21.00,12-23 04:12,滚
2912041,3,54,1-0,1.25,5.00,21.00,12-23 04:12,滚
2912041,3,54,1-0,1.25,5.20,17.00,12-23 04:12,滚
2912041,3,53,1-0,1.24,5.10,21.00,12-23 04:10,滚
2912041,3,52,1-0,1.23,5.20,21.00,12-23 04:09,滚
2912041,3,51,1-0,1.23,5.10,21.00,12-23 04:08,滚
2912041,3,50,1-0,1.23,5.40,17.50,12-23 04:08,滚
2912041,3,47,1-0,1.26,5.00,17.00,12-23 04:05,滚
2912041,3,46,1-0,1.30,4.70,14.00,12-23 04:04,滚
2912041,3,46,1-0,1.30,4.70,13.50,12-23 04:04,滚
2912041,3,45,1-0,1.30,4.70,14.00,12-23 03:45,滚
2912041,3,45,1-0,1.30,4.55,13.00,12-23 03:45,滚
2912041,3,44,1-0,1.31,4.55,13.00,12-23 03:44,滚
2912041,3,44,1-0,1.31,4.45,13.00,12-23 03:44,滚
2912041,3,42,1-0,1.33,4.45,13.00,12-23 03:42,滚
2912041,3,42,1-0,1.33,4.35,12.00,12-23 03:42,滚
2912041,3,41,1-0,1.35,4.35,12.00,12-23 03:41,滚
2912041,3,40,1-0,1.35,4.35,13.00,12-23 03:41,滚
2912041,3,40,1-0,1.34,4.35,13.00,12-23 03:41,滚
2912041,3,40,1-0,1.34,4.35,10.50,12-23 03:40,滚
2912041,3,39,1-0,1.34,4.00,10.50,12-23 03:39,滚
2912041,3,39,1-0,1.34,4.60,10.50,12-23 03:39,滚
2912041,3,38,1-0,1.34,4.80,10.50,12-23 03:39,滚
2912041,3,36,0-0,2.35,2.57,4.25,12-23 03:36,滚
2912041,3,35,0-0,2.39,2.57,4.10,12-23 03:36,滚
2912041,3,35,0-0,2.35,2.59,4.20,12-23 03:35,滚
