match_id,num,eu_cp_id,eu_cp_name,home_win_odd0,draw_odd0,away_win_odd0,home_win_p0,draw_p0,away_win_p0,return_rate0,home_win_odd1,draw_odd1,away_win_odd1,home_win_p1,draw_p1,away_win_p1,return_rate1,kelly_home,kelly_draw,kelly_away,datestr,eu_cp_name_ex,flag1,flag2
2804454,1129,148766923,Lottery Official,1.67,3.15,4.75,53.14,28.17,18.68,88.75,1.73,3.08,4.46,51.29,28.81,19.9,88.74,0.89,0.87,0.90,"2025,12-1,22,12,00,00",竞彩官*,1,0
2804454,281,148443053,Bet 365,1.7,3.4,5,54.35,27.17,18.48,92.39,1.85,3.3,4.75,51.28,28.75,19.97,94.87,0.95,0.94,0.96,"2025,12-1,22,20,00,00",36*(英国),1,0
2804454,80,148638102,Macauslot,1.55,3.47,5.5,57.85,25.84,16.3,89.67,1.84,3.2,3.85,48.71,28.01,23.28,89.63,0.94,0.91,0.78,"2025,12-1,22,11,51,00",澳*,1,0
2804454,432,148735881,HK Jockey Club,1.64,3.25,4.65,53.84,27.17,18.99,88.3,1.66,3.2,4.55,53.09,27.54,19.37,88.13,0.85,0.91,0.92,"2025,12-1,22,19,11,00",香港马*(中国香港),1,0
2804454,115,148459126,William Hill,1.75,3.4,4.8,53.21,27.39,19.4,93.12,1.85,3.2,4.5,50.27,29.06,20.67,93,0.95,0.91,0.91,"2025,12-1,22,19,50,00",威*(英国),1,0
2804454,82,148661603,Ladbrokes,1.65,3.6,5.5,56.87,26.07,17.06,93.84,1.85,3.25,4.6,50.73,28.87,20.4,93.84,0.95,0.92,0.93,"2025,12-1,22,14,47,00",立*(英国),1,0
2804454,173,148443575,Bet-at-home,1.7,3.4,5,54.35,27.17,18.48,92.39,1.88,3.4,4.6,50.98,28.19,20.83,95.84,0.97,0.96,0.93,"2025,12-1,22,19,55,00",bet-at-h*(马尔他),1,0
2804454,81,148466680,Vcbet,1.67,3.5,4.8,54.79,26.14,19.06,91.5,1.85,3.4,4.5,51.14,27.83,21.03,94.62,0.95,0.96,0.91,"2025,12-1,22,19,58,00",伟*(直布罗陀),1,0
2804454,90,148659918,Easybets,1.63,3.7,6.1,58.56,25.8,15.65,95.45,1.88,3.4,4.7,51.2,28.31,20.48,96.27,0.97,0.96,0.95,"2025,12-1,22,20,00,00",易*(安提瓜和巴布达),1,0
2804454,104,148474261,Interwetten,1.73,3.6,5.25,55.25,26.55,18.2,95.58,1.85,3.35,4.7,51.39,28.38,20.23,95.07,0.95,0.95,0.95,"2025,12-1,22,20,00,00",Interwet*(塞浦路斯),1,0
