match_id,company_id,时间,比分,主队,盘口,客队,变化时间,状态
2804454,8,时间,比分,毕尔巴鄂竞技,盘,西班牙人,变化时间,状态
2804454,8,91,[1:2],0.37,平手,2.10,12-23 05:51,滚
2804454,8,91,[1:2],0.28,平手,2.60,12-23 05:50,滚
2804454,8,88,[1:2],0.40,平手,2.00,12-23 05:48,滚
2804454,8,85,[1:2],0.42,平手,1.90,12-23 05:45,滚
2804454,8,85,[1:2],0.45,平手,1.80,12-23 05:45,滚
2804454,8,84,[1:2],0.42,平手,1.90,12-23 05:44,滚
2804454,8,83,[1:2],0.40,平手,2.00,12-23 05:43,滚
2804454,8,83,[1:2],0.42,平手,1.90,12-23 05:43,滚
2804454,8,83,[1:2],0.40,平手,2.00,12-23 05:43,滚
2804454,8,82,[1:2],0.42,平手,1.90,12-23 05:42,滚
2804454,8,82,[1:2],0.40,平手,2.00,12-23 05:42,滚
2804454,8,82,[1:2],0.42,平手,1.90,12-23 05:42,滚
2804454,8,82,[1:2],2.00,平手/半球,0.40,12-23 05:42,滚
2804454,8,81,[1:2],0.47,平手,1.70,12-23 05:41,滚
2804454,8,81,[1:2],1.80,平手/半球,0.45,12-23 05:41,滚
2804454,8,80,[1:2],1.70,平手/半球,0.47,12-23 05:40,滚
2804454,8,80,[1:2],1.65,平手/半球,0.50,12-23 05:40,滚
2804454,8,80,[1:2],1.55,平手/半球,0.52,12-23 05:40,滚
2804454,8,79,[1:2],1.50,平手/半球,0.55,12-23 05:39,滚
2804454,8,79,[1:2],1.45,平手/半球,0.57,12-23 05:39,滚
2804454,8,78,[1:2],1.35,平手/半球,0.62,12-23 05:38,滚
2804454,8,78,[1:2],1.30,平手/半球,0.65,12-23 05:38,滚
2804454,8,77,[1:2],1.25,平手/半球,0.67,12-23 05:37,滚
2804454,8,77,[1:2],1.15,平手/半球,0.72,12-23 05:37,滚
2804454,8,76,[1:2],1.12,平手/半球,0.75,12-23 05:36,滚
2804454,8,76,[1:2],1.20,平手/半球,0.70,12-23 05:36,滚
2804454,8,75,[1:2],1.15,平手/半球,0.72,12-23 05:35,滚
2804454,8,74,[1:2],1.12,平手/半球,0.75,12-23 05:34,滚
2804454,8,72,[1:2],1.10,平手/半球,0.77,12-23 05:32,滚
2804454,8,72,[1:2],1.05,平手/半球,0.80,12-23 05:32,滚
2804454,8,72,[1:2],1.10,平手/半球,0.77,12-23 05:32,滚
2804454,8,71,[1:2],1.05,平手/半球,0.80,12-23 05:31,滚
2804454,8,71,[1:2],1.02,平手/半球,0.82,12-23 05:31,滚
2804454,8,71,[1:2],1.05,平手/半球,0.80,12-23 05:31,滚
