match_id,company,初盘-主队,初盘盘口,初盘-客队,终盘-主队,终盘盘口,终盘-客队
2912041,澳*,0.77,平手/半球,1.01,0.77,平手/半球,1.01
2912041,Crow*,0.91,半球,0.91,0.82,平手/半球,1.06
2912041,36*,0.83,半球,1.03,0.80,平手/半球,1.05
2912041,易*,0.94,半球,0.98,1.11,半球,0.83
2912041,伟*,1.04,半球,0.79,0.77,平手/半球,1.06
2912041,明*,0.79,平手/半球,1.09,0.82,平手/半球,1.11
2912041,金宝*,0.92,半球,0.92,0.83,平手/半球,1.09
2912041,12*,0.81,平手/半球,1.07,0.83,平手/半球,1.09
2912041,利*,0.84,平手/半球,1.06,1.12,半球,0.81
2912041,盈*维,0.79,平手/半球,1.03,0.82,平手/半球,1.08
2912041,18*,0.82,半球,0.97,0.77,平手/半球,1.01
2912041,平*,0.78,平手/半球,1.05,0.84,平手/半球,1.08
2912041,香港马*,0.70,平手/半球,1.09,0.75,平手/半球,1.09
2912041,威*,0.95,半球,0.80,0.70,平手/半球,0.96
2912041,Interwet*,0.85,半球,0.95,1.15,半球,0.70
2912041,1x*,0.87,平手/半球,1.09,1.40,半球/一球,0.58
