match_id,num,eu_cp_id,eu_cp_name,home_win_odd0,draw_odd0,away_win_odd0,home_win_p0,draw_p0,away_win_p0,return_rate0,home_win_odd1,draw_odd1,away_win_odd1,home_win_p1,draw_p1,away_win_p1,return_rate1,kelly_home,kelly_draw,kelly_away,datestr,eu_cp_name_ex,flag1,flag2
2894738,580,148482545,Eurobet.it,1.44,3.9,6,62.14,22.94,14.91,89.48,1.47,4.2,6,62.7,21.94,15.36,92.16,0.93,0.93,0.88,"2025,12-1,23,19,41,00",Euro*.it(意大利),0,0
2894738,1415,148798018,Fairpari,1.57,4,6,60.45,23.73,15.82,94.91,1.49,4.34,6.65,63.8,21.9,14.3,95.06,0.94,0.96,0.98,"2025,12-1,23,19,58,00",Fairpar*,0,0
2894738,1249,148372104,Fanduel,1.57,3.8,5.3,58.5,24.17,17.33,91.85,1.41,4.4,7,65.71,21.06,13.24,92.65,0.89,0.97,1.03,"2025,12-1,23,19,58,00",Fand*,0,0
2894738,834,148808999,FavBet,1.57,4.14,6.25,61.33,23.26,15.41,96.29,1.55,4.52,7.3,64.3,22.05,13.65,99.66,0.98,1.00,1.07,"2025,12-1,23,19,52,00",Fav*,0,0
2894738,1251,148300205,FEZbet,1.58,3.8,5.66,59,24.53,16.47,93.22,1.45,4.33,7.5,65.44,21.91,12.65,94.88,0.92,0.96,1.10,"2025,12-1,23,19,58,00",FEZ*,0,0
2894738,73,148482546,Fonbet,1.53,4.1,6.5,62.17,23.2,14.63,95.12,1.55,4.3,6.5,62.54,22.54,14.91,96.94,0.98,0.95,0.96,"2025,12-1,23,19,41,00",Fon*(俄罗斯),0,0
2894738,1394,148840173,Freshbet,1.52,4.09,6.17,61.81,22.97,15.23,93.94,1.52,4.09,6.17,61.81,22.97,15.23,93.94,0.96,0.91,0.91,"2025,12-1,22,15,38,00",Freshbe*,0,0
2894738,669,148695896,Germania Sport,1.55,3.8,5.8,59.7,24.35,15.95,92.53,1.55,4.7,7,64.47,21.26,14.27,99.92,0.98,1.04,1.03,"2025,12-1,23,07,04,00",Germania Sp*(德国),0,0
2894738,1256,148452313,GGBET,1.51,4.28,6.45,63.02,22.23,14.75,95.15,1.49,4.51,6.79,64.52,21.32,14.16,96.14,0.94,1.00,1.00,"2025,12-1,23,19,58,00",GGBE*,0,0
2894738,1368,148523088,GGBet.ua,1.55,4.08,6.18,61.32,23.3,15.38,95.05,1.49,4.51,6.79,64.52,21.32,14.16,96.14,0.94,1.00,1.00,"2025,12-1,23,19,54,00",GGBe*.ua(乌克兰),0,0
