date_str,full_start_time,match_id,联赛,赛事时间,状态,主场球队,比分,客场球队,半场,亚让,进球数,数据
20220621,2022-06-21 18:50:00,2219791,球会友谊,21日18:50,完,[苏冠1]基马诺克,[1:0],南部女王[苏冠10],[0:0],,,析亚欧
20220625,2022-06-25 20:00:00,2222162,球会友谊,25日20:00,完,科夫流浪者,[0:2],邓弗姆林[苏冠9],[0:1],半球,2.5/3,析亚欧
20220628,2022-06-28 20:00:00,2228310,球会友谊,28日20:00,完,[苏冠1]基马诺克,[2:2],林肯红魔,[1:1],,,析亚欧
20220701,2022-07-01 17:45:00,2228794,球会友谊,1日17:45,完,[苏冠1]基马诺克,[1:0],查尔顿[英甲2],[0:0],*平/半,2.5/3,析亚欧
20220702,2022-07-02 20:00:00,2230753,球会友谊,2日20:00,完,巴福特城,[0:2],AFC温布尔登,[0:2],,,析亚欧
20220702,2022-07-02 22:00:00,2230009,球会友谊,2日22:00,完,[英议南8]哈瓦特,[0:3],朴茨茅斯[英甲3],[0:2],*球半,3/3.5,析亚欧
20220702,2022-07-02 22:00:00,2230016,球会友谊,2日22:00,完,[英北超13]纳维治城,[0:3],克鲁[英乙2],[0:2],,,析亚欧
20220702,2022-07-02 23:59:00,2230003,球会友谊,2日23:59,完,[荷甲4]乌德勒支,[2:4],女王公园[苏甲4],[1:1],球半,3,析亚欧
20220703,2022-07-03 22:00:00,2230182,球会友谊,3日22:00,完,[英南超9]戈斯波特,[1:0],朴茨茅斯[英甲3],[1:0],,,析亚欧
20220705,2022-07-06 02:30:00,2232860,球会友谊,6日02:30,完,[苏冠1]基马诺克,[1:0],邓弗姆林[苏冠9],[1:0],半/一,2.5/3,析亚欧
20220705,2022-07-06 02:30:00,2232855,球会友谊,6日02:30,完,[苏甲5]艾洛亚,[0:0],女王公园[苏甲4],[0:0],平手,2.5/3,析亚欧
20220705,2022-07-06 02:45:00,2230401,球会友谊,6日02:45,完,马科斯菲尔德,[2:1],克鲁[英乙2],[1:0],,,析亚欧
20220706,2022-07-07 02:30:00,2234386,球会友谊,7日02:30,完,金斯高路华,[0:6],克鲁,[0:3],,,析亚欧
20220709,2022-07-09 22:00:00,2218749,苏联杯,9日22:00,完,[苏超12]邓迪FC,[3:0],哈密尔顿[苏冠6],[1:0],半/一,2.5,析亚欧
20220709,2022-07-09 22:00:00,2218748,苏联杯,9日22:00,完,[苏乙6]斯青威尔,[2:5],女王公园[苏甲4],[2:4],*半/一,3,析亚欧
20220710,2022-07-10 19:30:00,2240846,球会友谊,10日19:30,完,帕纳辛纳科斯,[0:0],沃特福德,[0:0],*平/半,3,析亚欧
20220711,2022-07-12 02:30:00,2237624,球会友谊,12日02:30,完,东格林斯特德镇,[0:9],克劳利[英乙12],[0:4],,,析亚欧
20220712,2022-07-12 21:00:00,2240922,球会友谊,12日21:00,完,[英冠22]布里斯托城,[0:0],朴茨茅斯[英甲3],[0:0],,,析亚欧
