date_str,full_start_time,match_id,联赛,赛事时间,状态,主场球队,比分,客场球队,半场,亚让,进球数,数据
20220827,2022-08-28 01:00:00,2253891,西协甲B,28日01:00,完,[B-10]巴塞罗那B队,[3:2],卡斯迪隆[B-4],[1:2],半球,2/2.5,析亚欧
20220827,2022-08-28 01:30:00,2254656,西协甲A,28日01:30,完,[A-9]皇家马德里B队,[2:2],林恩斯[A-14],[1:0],半球,2/2.5,析亚欧
20220827,2022-08-28 01:30:00,2254657,西协甲A,28日01:30,完,[A-15]圣费尔兰度,[1:0],休达[A-7],[1:0],半球,2/2.5,析亚欧
20220827,2022-08-28 03:30:00,2254649,西协甲A,28日03:30,完,[A-5]科尔多瓦,[4:1],尤尼恩斯塔斯[A-4],[0:0],半/一,2/2.5,析亚欧
20220827,2022-08-28 03:30:00,2253893,西协甲B,28日03:30,完,[B-2]穆尔西亚,[0:0],卡拉贺拿[B-12],[0:0],半/一,2/2.5,析亚欧
20220827,2022-08-28 03:30:00,2254655,西协甲A,28日03:30,完,[A-17]瑞欧马加达宏达,[0:1],费罗尔竞技[A-2],[0:0],平手,2/2.5,析亚欧
20220827,2022-08-28 03:30:00,2253898,西协甲B,28日03:30,完,[B-11]沙巴度尔,[1:1],亚摩勒比塔[B-16],[0:0],平/半,2/2.5,析亚欧
20220828,2022-08-28 18:00:00,2253899,西协甲B,28日18:00,完,[B-16]SD朗洛尼斯,[0:1],艾高亚诺[B-11],[0:0],半球,2/2.5,析亚欧
20220828,2022-08-28 18:00:00,2253896,西协甲B,28日18:00,完,[B-14]皇家社会B队,[2:0],埃登斯[B-15],[0:0],平/半,2/2.5,析亚欧
20220828,2022-08-28 18:00:00,2253890,西协甲B,28日18:00,完,[B-13]毕尔巴鄂竞技B队,[1:2],拉奴西亚[B-8],[1:0],半球,2/2.5,析亚欧
20220828,2022-08-28 18:00:00,2254648,西协甲A,28日18:00,完,[A-6]塞尔塔B队,[1:2],圣瑟巴斯提安雷耶斯[A-15],[1:2],平/半,2/2.5,析亚欧
20220828,2022-08-28 18:00:00,2253897,西协甲B,28日18:00,完,[B-12]皇家联邦,[2:0],科喏拉[B-18],[1:0],半球,2/2.5,析亚欧
20220828,2022-08-29 01:30:00,2254651,西协甲A,29日01:30,完,[A-7]富恩拉布雷达,[2:0],艾基史拉斯[A-11],[1:0],半/一,2/2.5,析亚欧
20220828,2022-08-29 01:30:00,2254654,西协甲A,29日01:30,完,[A-10]庞特贝德拉,[1:1],艾科坎[A-8],[1:1],平手,2/2.5,析亚欧
20220828,2022-08-29 01:30:00,2253894,西协甲B,29日01:30,完,[B-9]努曼西亚,[0:1],英特城[B-19],[0:0],半球,2/2.5,析亚欧
20220828,2022-08-29 01:30:00,2253892,西协甲B,29日01:30,完,[B-10]塔拉戈纳,[2:2],洛格朗尼斯[B-17],[0:1],半球,2.5,析亚欧
20220828,2022-08-29 01:30:00,2254652,西协甲A,29日01:30,完,[A-17]利安尼沙,[0:1],巴达祖斯[A-9],[0:0],平/半,2/2.5,析亚欧
20220828,2022-08-29 03:30:00,2254653,西协甲A,29日03:30,完,[A-13]力纳雷斯体育会,[2:0],梅里达AD[A-14],[2:0],半球,2/2.5,析亚欧
20220903,2022-09-04 01:30:00,2253908,西协甲B,4日01:30,完,[B-4]拉奴西亚,[1:1],塔拉戈纳[B-8],[0:0],*平/半,2/2.5,析亚欧
20220903,2022-09-04 01:30:00,2253909,西协甲B,4日01:30,完,[B-7]洛格朗尼斯,[0:1],毕尔巴鄂竞技B队[B-16],[0:1],半球,2/2.5,析亚欧
20220903,2022-09-04 01:30:00,2254662,西协甲A,4日01:30,完,[A-12]拉科鲁尼亚,[2:1],林恩斯[A-9],[0:1],一/球半,2.5,析亚欧
20220903,2022-09-04 03:30:00,2253907,西协甲B,4日03:30,完,[B-19]埃登斯,[0:0],努曼西亚[B-17],[0:0],平/半,2,析亚欧
20220903,2022-09-04 03:30:00,2254660,西协甲A,4日03:30,完,[A-6]巴达祖斯,[1:1],圣费尔兰度[A-5],[1:1],平/半,2/2.5,析亚欧
20220903,2022-09-04 03:30:00,2254666,西协甲A,4日03:30,完,[A-4]圣瑟巴斯提安雷耶斯,[2:0],庞特贝德拉[A-11],[1:0],平/半,2,析亚欧
20220903,2022-09-04 03:30:00,2254659,西协甲A,4日03:30,完,[A-18]艾基史拉斯,[2:1],瑞欧马加达宏达[A-17],[1:0],平/半,2.5,析亚欧
20220904,2022-09-04 18:00:00,2254658,西协甲A,4日18:00,完,[A-11]艾科坎,[1:1],塞尔塔B队[A-15],[1:1],半球,2/2.5,析亚欧
20220904,2022-09-04 18:00:00,2254667,西协甲A,4日18:00,完,[A-20]尤尼恩斯塔斯,[1:1],力纳雷斯体育会[A-6],[0:0],平/半,2.5,析亚欧
20220904,2022-09-04 18:00:00,2253901,西协甲B,4日18:00,完,[B-9]亚摩勒比塔,[4:2],SD朗洛尼斯[B-19],[3:1],半球,2/2.5,析亚欧
20220904,2022-09-05 00:30:00,2253905,西协甲B,5日00:30,完,[B-6]英特城,[1:3],穆尔西亚[B-13],[0:0],平/半,2,析亚欧
20220904,2022-09-05 01:30:00,2253903,西协甲B,5日01:30,完,[B-11]卡拉贺拿,[1:1],皇家社会B队[B-3],[1:0],平/半,2/2.5,析亚欧
20220904,2022-09-05 01:30:00,2254661,西协甲A,5日01:30,完,[A-4]科尔多瓦,[3:0],富恩拉布雷达[A-5],[1:0],平/半,2/2.5,析亚欧
20220904,2022-09-05 01:30:00,2253904,西协甲B,5日01:30,完,[B-18]卡斯迪隆,[3:1],沙巴度尔[B-10],[2:0],半球,2/2.5,析亚欧
20220904,2022-09-05 01:30:00,2254665,西协甲A,5日01:30,完,[A-17]利安尼沙,[2:0],休达[A-16],[1:0],平/半,2.5,析亚欧
20220904,2022-09-05 01:30:00,2253906,西协甲B,5日01:30,完,[B-20]科喏拉,[1:3],奥萨苏纳B队[B-14],[1:0],平手,2/2.5,析亚欧
20220904,2022-09-05 01:30:00,2254663,西协甲A,5日01:30,完,[A-8]费罗尔竞技,[2:1],皇家马德里B队[A-10],[1:0],半球,2/2.5,析亚欧
20220904,2022-09-05 02:00:00,2253900,西协甲B,5日02:00,完,[B-5]艾高亚诺,[0:0],巴塞罗那B队[B-4],[0:0],平/半,2/2.5,析亚欧
20220904,2022-09-05 02:00:00,2253902,西协甲B,5日02:00,完,[B-12]巴利阿里,[1:1],皇家联邦[B-2],[1:0],半/一,2/2.5,析亚欧
20220910,2022-09-10 23:00:00,2253916,西协甲B,10日23:00,完,[B-4]皇家社会B队,[1:2],穆尔西亚[B-3],[1:0],平/半,2,析亚欧
20220910,2022-09-11 01:30:00,2254676,西协甲A,11日01:30,完,[A-12]皇家马德里B队,[1:0],尤尼恩斯塔斯[A-16],[1:0],半/一,2.5,析亚欧
20220910,2022-09-11 01:30:00,2253913,西协甲B,11日01:30,完,[B-12]塔拉戈纳,[1:3],英特城[B-11],[0:2],半/一,2,析亚欧
20220910,2022-09-11 03:30:00,2253910,西协甲B,11日03:30,完,[B-10]毕尔巴鄂竞技B队,[0:1],埃登斯[B-18],[0:1],半球,2/2.5,析亚欧
20220910,2022-09-11 03:30:00,2254668,西协甲A,11日03:30,完,[A-10]艾基史拉斯,[0:1],利安尼沙[A-8],[0:1],平/半,2.5,析亚欧
20220911,2022-09-11 17:30:00,2253919,西协甲B,11日17:30,完,[B-19]SD朗洛尼斯,[3:2],拉奴西亚[B-8],[1:1],平/半,2,析亚欧
20220911,2022-09-11 18:00:00,2254673,西协甲A,11日18:00,完,[A-19]梅里达AD,[0:1],拉科鲁尼亚[A-9],[0:1],*一球,2/2.5,析亚欧
20220911,2022-09-11 18:00:00,2254670,西协甲A,11日18:00,完,[A-10]富恩拉布雷达,[2:1],休达[A-20],[0:1],球半,2.5,析亚欧
20220911,2022-09-11 18:00:00,2253915,西协甲B,11日18:00,完,[B-4]奥萨苏纳B队,[2:1],亚摩勒比塔[B-3],[1:1],平手,2.5,析亚欧
20220911,2022-09-11 18:00:00,2254672,西协甲A,11日18:00,完,[A-13]林恩斯,[1:2],艾科坎[A-12],[0:0],*平/半,2/2.5,析亚欧
20220911,2022-09-11 23:00:00,2254669,西协甲A,11日23:00,完,[A-14]塞尔塔B队,[1:2],科尔多瓦[A-1],[0:1],*半/一,2.5,析亚欧
20220911,2022-09-11 23:00:00,2253918,西协甲B,11日23:00,完,[B-18]沙巴度尔,[1:0],科喏拉[B-20],[0:0],半/一,2,析亚欧
20220911,2022-09-12 01:00:00,2253912,西协甲B,12日01:00,完,[B-7]巴塞罗那B队,[2:0],卡拉贺拿[B-14],[0:0],半球,2.5,析亚欧
20220911,2022-09-12 01:00:00,2253911,西协甲B,12日01:00,完,[B-13]巴利阿里,[1:1],卡斯迪隆[B-11],[0:1],半球,2,析亚欧
20220911,2022-09-12 01:30:00,2253914,西协甲B,12日01:30,完,[B-17]努曼西亚,[0:1],艾高亚诺[B-9],[0:0],平手,2,析亚欧
20220911,2022-09-12 01:30:00,2254677,西协甲A,12日01:30,完,[A-7]圣费尔兰度,[0:1],费罗尔竞技[A-3],[0:0],*半球,2/2.5,析亚欧
20220911,2022-09-12 01:30:00,2254675,西协甲A,12日01:30,完,[A-18]瑞欧马加达宏达,[2:2],巴达祖斯[A-6],[1:0],平/半,2,析亚欧
20220911,2022-09-12 01:30:00,2253917,西协甲B,12日01:30,完,[B-5]皇家联邦,[0:3],洛格朗尼斯[B-16],[0:1],平手,2,析亚欧
20220911,2022-09-12 01:30:00,2254671,西协甲A,12日01:30,完,[A-5]力纳雷斯体育会,[2:1],圣瑟巴斯提安雷耶斯[A-2],[1:0],*平/半,2/2.5,析亚欧
20220917,2022-09-18 01:30:00,2253924,西协甲B,18日01:30,完,[B-5]英特城,[5:2],皇家社会B队[B-9],[2:1],半球,2,析亚欧
20220917,2022-09-18 01:30:00,2254679,西协甲A,18日01:30,完,[A-9]巴达祖斯,[0:1],艾基史拉斯[A-13],[0:0],平/半,2/2.5,析亚欧
20220917,2022-09-18 02:00:00,2253922,西协甲B,18日02:00,完,[B-18]卡拉贺拿,[0:0],塔拉戈纳[B-17],[0:0],平/半,2/2.5,析亚欧
20220917,2022-09-18 02:00:00,2254683,西协甲A,18日02:00,完,[A-2]费罗尔竞技,[3:2],利安尼沙[A-5],[2:1],半/一,2/2.5,析亚欧
20220917,2022-09-18 03:30:00,2253926,西协甲B,18日03:30,完,[B-10]拉奴西亚,[0:0],奥萨苏纳B队[B-2],[0:0],平手,2.5,析亚欧
20220917,2022-09-18 03:30:00,2254681,西协甲A,18日03:30,完,[A-1]科尔多瓦,[2:0],瑞欧马加达宏达[A-16],[1:0],一球,2.5,析亚欧
20220917,2022-09-18 03:30:00,2254686,西协甲A,18日03:30,完,[A-4]圣瑟巴斯提安雷耶斯,[1:5],皇家马德里B队[A-11],[1:1],平手,2/2.5,析亚欧
20220917,2022-09-18 03:30:00,2253927,西协甲B,18日03:30,完,[B-1]穆尔西亚,[0:0],努曼西亚[B-19],[0:0],半/一,2,析亚欧
20220918,2022-09-18 18:00:00,2254685,西协甲A,18日18:00,完,[A-14]林恩斯,[0:0],梅里达AD[A-18],[0:0],半/一,2/2.5,析亚欧
20220918,2022-09-18 18:00:00,2254680,西协甲A,18日18:00,完,[A-20]休达,[1:3],塞尔塔B队[A-15],[0:1],平手,2/2.5,析亚欧
20220918,2022-09-18 18:00:00,2288529,西协甲B,18日18:00,完,[B-12]埃登斯,[2:0],皇家联邦[B-11],[1:0],半/一,2/2.5,析亚欧
20220918,2022-09-18 18:00:00,2254684,西协甲A,18日18:00,完,[A-19]塔拉维亚,[2:3],力纳雷斯体育会[A-4],[0:1],*平/半,2/2.5,析亚欧
20220918,2022-09-18 18:00:00,2253928,西协甲B,18日18:00,完,[B-7]洛格朗尼斯,[1:3],SD朗洛尼斯[B-16],[0:2],半球,2/2.5,析亚欧
20220918,2022-09-18 18:00:00,2253925,西协甲B,18日18:00,完,[B-20]科喏拉,[1:0],巴利阿里[B-14],[0:0],*半球,2/2.5,析亚欧
20220918,2022-09-19 01:00:00,2253921,西协甲B,19日01:00,完,[B-8]亚摩勒比塔,[0:0],巴塞罗那B队[B-4],[0:0],平手,2/2.5,析亚欧
20220918,2022-09-19 01:00:00,2254682,西协甲A,19日01:00,完,[A-5]拉科鲁尼亚,[1:1],庞特贝德拉[A-12],[0:0],一球,2/2.5,析亚欧
20220918,2022-09-19 01:30:00,2254678,西协甲A,19日01:30,完,[A-10]艾科坎,[2:1],圣费尔兰度[A-13],[0:1],半/一,2/2.5,析亚欧
20220918,2022-09-19 01:30:00,2254687,西协甲A,19日01:30,完,[A-17]尤尼恩斯塔斯,[1:1],富恩拉布雷达[A-7],[1:0],平手,2/2.5,析亚欧
20220918,2022-09-19 01:30:00,2253920,西协甲B,19日01:30,完,[B-5]艾高亚诺,[2:1],沙巴度尔[B-10],[1:0],平/半,2,析亚欧
20220918,2022-09-19 01:30:00,2253923,西协甲B,19日01:30,完,[B-9]卡斯迪隆,[2:0],毕尔巴鄂竞技B队[B-15],[1:0],半球,2/2.5,析亚欧
20220924,2022-09-24 23:00:00,2290098,西协甲A,24日23:00,完,[A-17]梅里达AD,[1:1],尤尼恩斯塔斯[A-16],[0:0],*平/半,2/2.5,析亚欧
20220924,2022-09-24 23:00:00,2253935,西协甲B,24日23:00,完,[B-4]奥萨苏纳B队,[0:2],埃登斯[B-7],[0:0],平/半,2/2.5,析亚欧
20220924,2022-09-25 01:00:00,2290099,西协甲A,25日01:00,完,[A-9]艾基史拉斯,[1:1],费罗尔竞技[A-2],[1:0],*平/半,2/2.5,析亚欧
20220924,2022-09-25 01:00:00,2253929,西协甲B,25日01:00,完,[B-18]毕尔巴鄂竞技B队,[1:1],皇家社会B队[B-12],[0:0],平/半,2/2.5,析亚欧
20220924,2022-09-25 01:00:00,2290100,西协甲A,25日01:00,完,[A-14]圣费尔兰度,[1:1],圣瑟巴斯提安雷耶斯[A-10],[0:0],平/半,2/2.5,析亚欧
20220924,2022-09-25 01:00:00,2253931,西协甲B,25日01:00,完,[B-5]巴塞罗那B队,[2:0],穆尔西亚[B-3],[1:0],平/半,2/2.5,析亚欧
20220925,2022-09-25 18:00:00,2290102,西协甲A,25日18:00,完,[A-3]力纳雷斯体育会,[1:0],艾科坎[A-4],[0:0],平手,2/2.5,析亚欧
20220925,2022-09-25 18:00:00,2253937,西协甲B,25日18:00,完,[B-13]沙巴度尔,[1:0],卡拉贺拿[B-18],[0:0],平/半,2,析亚欧
20220925,2022-09-25 18:00:00,2253936,西协甲B,25日18:00,完,[B-14]皇家联邦,[1:2],艾高亚诺[B-3],[0:1],*平/半,2,析亚欧
20220925,2022-09-25 18:00:00,2253930,西协甲B,25日18:00,完,[B-16]巴利阿里,[1:2],洛格朗尼斯[B-12],[1:0],半球,2/2.5,析亚欧
20220925,2022-09-25 18:00:00,2253938,西协甲B,25日18:00,完,[B-8]SD朗洛尼斯,[1:0],英特城[B-4],[1:0],*平/半,2/2.5,析亚欧
20220925,2022-09-25 18:00:00,2290103,西协甲A,25日18:00,完,[A-18]瑞欧马加达宏达,[1:2],休达[A-20],[0:1],半球,2/2.5,析亚欧
20220925,2022-09-25 18:00:00,2290104,西协甲A,25日18:00,完,[A-6]皇家马德里B队,[3:1],巴达祖斯[A-13],[3:0],半球,2/2.5,析亚欧
