match_id,date,time,weekday,competition,season,round,venue,opponent,home_team,away_team,home_team_id,away_team_id,home_goals,away_goals,home_ht,away_ht,team_goals,opponent_goals,result,status,match_url
10169212,2022-06-03,23:30,Friday,Ykkosliiga,Ykkonen 2022,1,,,KPV,FF Jaro,2256,2252,1,0,0,0,1,0,胜,finished,https://www.sofascore.com/football/match/kpv-ff-jaro/cVsgV#id:10169212
10169211,2022-06-03,23:30,Friday,Ykkosliiga,Ykkonen 2022,1,,,JäPS,SJK Akatemia,23422,89908,1,1,1,1,1,1,平,finished,https://www.sofascore.com/football/match/sjk-akatemia-japs/xtjsiYK#id:10169211
10169213,2022-06-03,23:30,Friday,Ykkosliiga,Ykkonen 2022,1,,,KTP,PIF,2255,218204,3,1,1,1,3,1,胜,finished,https://www.sofascore.com/football/match/pif-ktp/fVseoMb#id:10169213
10169214,2022-06-05,23:30,Sunday,Ykkosliiga,Ykkonen 2022,1,,,EIF,MP,22372,5115,2,2,0,2,2,2,平,finished,https://www.sofascore.com/football/match/eif-mp/pccsxXi#id:10169214
10169215,2022-06-05,23:30,Sunday,Ykkosliiga,Ykkonen 2022,1,,,IF Gnistan,PEPO,2271,2275,5,0,1,0,5,0,胜,finished,https://www.sofascore.com/football/match/pepo-if-gnistan/wVsAV#id:10169215
10169216,2022-06-06,23:30,Monday,Ykkosliiga,Ykkonen 2022,1,,,TPS,PK-35,2254,50525,2,0,1,0,2,0,胜,finished,https://www.sofascore.com/football/match/pk-35-tps/eVsAkv#id:10169216
10169217,2022-06-10,23:30,Friday,Ykkosliiga,Ykkonen 2022,1,,,MP,TPS,5115,2254,1,1,0,1,1,1,平,finished,https://www.sofascore.com/football/match/mp-tps/eVspcc#id:10169217
10169218,2022-06-10,23:30,Friday,Ykkosliiga,Ykkonen 2022,1,,,PIF,EIF,218204,22372,2,3,2,1,2,3,负,finished,https://www.sofascore.com/football/match/pif-eif/xXiseoMb#id:10169218
10169219,2022-06-11,00:00,Saturday,Ykkosliiga,Ykkonen 2022,1,,,PEPO,JäPS,2275,23422,2,4,2,0,2,4,负,finished,https://www.sofascore.com/football/match/japs-pepo/AVsxtj#id:10169219
10169220,2022-06-11,22:00,Saturday,Ykkosliiga,Ykkonen 2022,1,,,PK-35,KPV,50525,2256,1,1,0,0,1,1,平,finished,https://www.sofascore.com/football/match/pk-35-kpv/gVsAkv#id:10169220
