date_str,full_start_time,match_id,联赛,赛事时间,状态,主场球队,比分,客场球队,半场,亚让,进球数,数据
20220619,2022-06-20 03:00:00,2210348,西乙升,20日03:00,完,特内里费,[1:3],赫罗纳,[0:1],平/半,2,析亚欧
20220628,2022-06-28 23:00:00,2228520,球会友谊,28日23:00,完,费伦茨瓦罗斯,[4:1],卡尔斯鲁厄,[3:1],半/一,3/3.5,析亚欧
20220731,2022-07-01 01:45:00,2261837,球会友谊,1日01:45,完,[英超17]利兹联,[6:2],卡利亚里[意甲18],[1:0],半球,2.5/3,析亚欧
20220731,2022-07-01 02:35:00,2242601,意杯,1日02:35,完,[意丙1B-1]摩德纳,[3:1],卡坦萨罗[意丙1C-2],[2:0],半/一,2/2.5,析亚欧
20220731,2022-07-01 03:00:00,2242599,意杯,1日03:00,完,[意丙1C-3]巴勒莫,[3:2],雷吉亚纳[意丙1B-2],[2:0],半球,2/2.5,析亚欧
20220705,2022-07-05 23:00:00,2230400,球会友谊,5日23:00,完,[法丙2]昂纳西,[1:0],塞尔维特[瑞士超4],[1:0],,,析亚欧
20220709,2022-07-09 23:00:00,2234591,球会友谊,9日23:00,完,[法丙2]昂纳西,[2:0],尼姆[法乙9],[0:0],平手,2.5,析亚欧
20220709,2022-07-09 23:59:00,2237811,球会友谊,9日23:59,完,[法甲19]梅斯,[2:0],竞赛联[卢森甲7],[2:0],,,析亚欧
20220712,2022-07-13 01:00:00,2240939,球会友谊,13日01:00,完,[法丁2]奥维涅,[0:1],圣埃蒂安[法甲18],[0:1],,,析亚欧
20220715,2022-07-15 23:59:00,2243928,球会友谊,15日23:59,完,[法乙15]格勒诺布尔,[1:1],圣埃蒂安[法甲18],[0:1],,,析亚欧
20220715,2022-07-16 02:30:00,2216263,德乙,16日02:30,完,凯泽斯劳滕,[2:1],汉诺威96,[1:0],平手,2.5,析亚欧
20220716,2022-07-16 19:00:00,2216267,德乙,16日19:00,完,桑德豪森,[2:1],比勒菲尔德[德甲17],[1:0],*平/半,2.5,析亚欧
20220716,2022-07-16 19:00:00,2216268,德乙,16日19:00,完,圣保利,[3:2],纽伦堡,[3:0],平/半,2.5/3,析亚欧
20220716,2022-07-16 19:00:00,2216261,德乙,16日19:00,完,[德甲18]菲尔特,[2:2],基尔高士丁,[0:1],平/半,2.5,析亚欧
20220716,2022-07-16 19:00:00,2216266,德乙,16日19:00,完,雷根斯堡,[2:0],达姆斯塔特,[1:0],*平/半,2.5/3,析亚欧
20220716,2022-07-16 22:00:00,2244231,球会友谊,16日22:00,完,[法丙2]昂纳西,[1:1],第戎[法乙11],[0:1],,,析亚欧
