sofascore_match_id,win007_match_id,team_id,team_name,is_home,date,competition,season,goals_scored,goals_conceded,goal_diff,total_goals,win007_euro_early_home_odds,win007_euro_early_draw_odds,win007_euro_early_away_odds,win007_euro_early_return_rate,win007_euro_final_home_odds,win007_euro_final_draw_odds,win007_euro_final_away_odds,win007_euro_final_return_rate,win007_euro_early_home_prob,win007_euro_early_draw_prob,win007_euro_early_away_prob,win007_euro_final_home_prob,win007_euro_final_draw_prob,win007_euro_final_away_prob,win007_euro_kelly_home,win007_euro_kelly_draw,win007_euro_kelly_away,win007_euro_home_odds_change,win007_euro_draw_odds_change,win007_euro_away_odds_change,sofascore_xG,sofascore_total_shots,sofascore_shots_on_target,sofascore_shots_inside_box,sofascore_shots_outside_box,sofascore_blocked_shots,sofascore_big_chances,sofascore_big_chances_scored,sofascore_big_chances_missed,sofascore_ball_possession,sofascore_total_passes,sofascore_accurate_passes,sofascore_pass_accuracy,sofascore_touches_in_box,sofascore_through_balls,sofascore_final_third_entries,sofascore_corner_kicks,sofascore_goalkeeper_saves,sofascore_total_saves,sofascore_goals_prevented,sofascore_tackles,sofascore_total_tackles,sofascore_tackles_won_pct,sofascore_interceptions,sofascore_clearances,sofascore_recoveries,sofascore_errors_to_shot,sofascore_duels_won_pct,sofascore_ground_duels_won,sofascore_ground_duels_pct,sofascore_aerial_duels_won,sofascore_aerial_duels_pct,sofascore_dribbles_successful,sofascore_dribbles_pct,sofascore_fouls,sofascore_yellow_cards,sofascore_long_balls_accurate,sofascore_long_balls_pct,sofascore_team_avg_rating,sofascore_team_max_rating,sofascore_team_min_rating,sofascore_team_total_shots,sofascore_team_total_xG,sofascore_team_shots_on_target,sofascore_team_total_key_passes,sofascore_team_avg_pass_accuracy,sofascore_team_total_tackles,sofascore_team_total_interceptions,sofascore_team_total_clearances,sofascore_team_total_duels_won,sofascore_team_total_duels_lost,sofascore_team_duels_win_rate,sofascore_key_attacker_name,sofascore_key_attacker_xG,sofascore_key_attacker_shots,sofascore_key_attacker_rating,sofascore_mvp_name,sofascore_mvp_rating,sofascore_mvp_goals,sofascore_key_passer_name,sofascore_key_passer_key_passes,sofascore_key_passer_pass_accuracy,sofascore_key_defender_name,sofascore_key_defender_tackles,sofascore_key_defender_interceptions,sofascore_key_defender_rating,sofascore_key_dueler_name,sofascore_key_dueler_won,sofascore_key_dueler_lost,sofascore_key_dueler_win_rate
14907281,2789293,43,Fulham,1,2025-12-23,Premier League,Premier League 25/26,1.0,0.0,1.0,1.0,2.14,3.34,3.39,94.19,2.67,3.35,2.83,97.43,44.01,28.2,27.78,36.49,29.08,34.43,0.99,0.96,0.96,0.5299999999999998,0.010000000000000231,-0.56,0.34,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,47.0,244.0,196.0,,24.0,,25.0,0.0,2.0,2.0,0.08,13.0,13.0,62.0,3.0,19.0,28.0,1.0,60.0,21.0,68.0,7.0,44.0,4.0,67.0,2.0,4.0,13.0,37.0,6.981249999999999,8.1,6.5,10,1.4965,1,9,81.14375000000001,21,10,29,55,35,0.6111111111111112,Raúl Jiménez,1.2878,4.0,6.9,Kevin,8.1,0,Saša Lukić,3,78.4,Kenny Tete,3,3,7.6,Saša Lukić,9,4,0.6923076923076923
14907281,2789293,14,Nottingham Forest,0,2025-12-23,Premier League,Premier League 25/26,0.0,1.0,-1.0,1.0,2.14,3.34,3.39,94.19,2.67,3.35,2.83,97.43,44.01,28.2,27.78,36.49,29.08,34.43,0.99,0.96,0.96,0.5299999999999998,0.010000000000000231,-0.56,0.35,6.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,53.0,261.0,227.0,,21.0,,43.0,4.0,0.0,0.0,-0.25,5.0,5.0,80.0,3.0,7.0,28.0,1.0,40.0,10.0,32.0,9.0,56.0,3.0,27.0,4.0,3.0,15.0,42.0,6.480000000000001,7.0,5.7,10,0.6676,2,11,87.61333333333333,10,8,16,34,55,0.38202247191011235,Igor Jesus,0.439,4.0,7.0,Nikola Milenković,7.0,0,Elliot Anderson,2,86.8,Douglas Luiz,3,2,6.1,Igor Jesus,9,3,0.75
14083180,2804454,2825,Athletic Club,1,2025-12-23,LaLiga,LaLiga 25/26,1.0,2.0,-1.0,3.0,1.75,3.7,4.49,93.95,1.92,3.32,4.86,97.3,53.68,25.39,20.92,50.67,29.31,20.02,0.99,0.94,0.99,0.16999999999999993,-0.38000000000000034,0.3700000000000001,0.62,9.0,3.0,6.0,3.0,3.0,0.0,0.0,0.0,76.0,306.0,265.0,,28.0,,35.0,5.0,1.0,1.0,-0.65,5.0,5.0,60.0,6.0,10.0,26.0,1.0,42.0,13.0,38.0,7.0,50.0,3.0,30.0,3.0,2.0,8.0,44.0,6.56875,8.0,5.2,10,1.5929,7,10,85.85,11,11,25,36,54,0.4,Álex Berenguer,0.606,1.0,8.0,Álex Berenguer,8.0,1,Álex Berenguer,2,82.0,Mikel Jauregizar,3,2,6.8,Aitor Paredes,5,2,0.7142857142857143
14083180,2804454,2814,Espanyol,0,2025-12-23,LaLiga,LaLiga 25/26,2.0,1.0,1.0,3.0,1.75,3.7,4.49,93.95,1.92,3.32,4.86,97.3,53.68,25.39,20.92,50.67,29.31,20.02,0.99,0.94,0.99,0.16999999999999993,-0.38000000000000034,0.3700000000000001,0.71,5.0,2.0,3.0,2.0,1.0,1.0,1.0,0.0,24.0,99.0,62.0,,13.0,,20.0,1.0,3.0,3.0,0.66,12.0,12.0,42.0,4.0,22.0,29.0,0.0,58.0,21.0,62.0,7.0,50.0,4.0,57.0,1.0,2.0,13.0,42.0,7.00625,8.2,6.4,5,0.8985000000000001,5,6,54.75625000000001,27,11,37,54,36,0.6,Pere Milla,0.5173,0.0,7.2,Carlos Romero,8.2,1,Edu Expósito,5,68.0,Carlos Romero,5,3,8.2,Omar El Hilali,7,3,0.7
14970878,2894738,42,Arsenal,1,2025-12-24,EFL Cup,EFL Cup 25/26,9.0,8.0,1.0,17.0,1.61,3.87,5.3,93.62,1.48,4.6,7.35,97.17,58.15,24.19,17.66,65.66,21.12,13.22,0.93,1.02,1.08,-0.13000000000000012,0.7299999999999995,2.05,3.81,13.0,3.0,12.0,1.0,7.0,1.0,0.0,1.0,58.0,237.0,182.0,,61.0,,32.0,4.0,0.0,0.0,,6.0,6.0,33.0,4.0,12.0,25.0,0.0,41.0,14.0,47.0,8.0,33.0,2.0,40.0,5.0,1.0,8.0,30.0,7.086666666666665,7.6,6.4,18,0.0,7,18,75.63333333333334,9,7,17,46,52,0.46938775510204084,,,,,Jurriën Timber,7.6,0,Gabriel Martinelli,5,80.0,Jurriën Timber,2,1,7.6,Myles Lewis-Skelly,6,1,0.8571428571428571
14970878,2894738,7,Crystal Palace,0,2025-12-24,EFL Cup,EFL Cup 25/26,8.0,9.0,-1.0,17.0,1.61,3.87,5.3,93.62,1.48,4.6,7.35,97.17,58.15,24.19,17.66,65.66,21.12,13.22,0.93,1.02,1.08,-0.13000000000000012,0.7299999999999995,2.05,0.92,6.0,1.0,5.0,1.0,2.0,1.0,1.0,0.0,42.0,171.0,118.0,,15.0,,24.0,2.0,3.0,3.0,,9.0,9.0,67.0,1.0,19.0,22.0,1.0,59.0,16.0,53.0,16.0,67.0,2.0,50.0,6.0,0.0,11.0,38.0,7.233333333333333,9.8,6.3,7,0.0,1,7,60.25333333333334,19,6,55,52,46,0.5306122448979592,,,,,Walter Benítez,9.8,0,Jean-Philippe Mateta,3,52.9,Tyrick Mitchell,4,1,7.3,Jefferson Lerma,14,10,0.5833333333333334
