sofascore_match_id,sofascore_date,sofascore_time,sofascore_weekday,sofascore_competition,sofascore_season,sofascore_round,sofascore_venue,sofascore_opponent,sofascore_home_team,sofascore_away_team,sofascore_home_team_id,sofascore_away_team_id,sofascore_home_goals,sofascore_away_goals,sofascore_home_ht,sofascore_away_ht,sofascore_team_goals,sofascore_opponent_goals,sofascore_result,sofascore_status,sofascore_match_url,win007_date_str,win007_full_start_time,win007_match_id,win007_联赛,win007_赛事时间,win007_状态,win007_主场球队,win007_比分,win007_客场球队,win007_半场,win007_亚让,win007_进球数,win007_数据
14907281,2025-12-23,04:00,Tuesday,Premier League,Premier League 25/26,17,,,Fulham,Nottingham Forest,43,14,1,0,1,0,1,0,胜,finished,https://www.sofascore.com/football/match/fulham-nottingham-forest/osT#id:14907281,20251222,2025-12-23 04:00,2789293,英超,23日04:00,完,[15]富勒姆,[1:0],诺丁汉森林[17],[1:0],平/半,2.5,析亚欧
14083180,2025-12-23,04:00,Tuesday,LaLiga,LaLiga 25/26,17,,,Athletic Club,Espanyol,2825,2814,1,2,1,1,1,2,负,finished,https://www.sofascore.com/football/match/athletic-club-espanyol/ogbsAgb#id:14083180,20251222,2025-12-23 04:00,2804454,西甲,23日04:00,完,[8]毕尔巴鄂竞技,[1:2],西班牙人[5],[1:1],半/一,2/2.5,析亚欧
14970878,2025-12-24,04:00,Wednesday,EFL Cup,EFL Cup 25/26,27,,,Arsenal,Crystal Palace,42,7,9,8,0,0,9,8,胜,finished,https://www.sofascore.com/football/match/arsenal-crystal-palace/hsR#id:14970878,20251223,2025-12-24 04:00,2894738,英联杯,24日04:00,完,[英超1]阿森纳,[1:1],水晶宫[英超8],[0:0],一球,2.5,析亚欧
