date_str,full_start_time,match_id,联赛,赛事时间,状态,主场球队,比分,客场球队,半场,亚让,进球数,数据
20220604,2022-06-04 15:00:00,2148527,日职乙,4日15:00,完,德岛漩涡,[1:1],新泻天鹅,[1:1],平手,2/2.5,析亚欧
20220604,2022-06-04 17:00:00,2148517,日职乙,4日17:00,完,冈山绿雉,[5:1],金泽,[5:1],平/半,2,析亚欧
20220605,2022-06-05 13:00:00,2148518,日职乙,5日13:00,完,秋田蓝色闪电,[2:2],熊本深红,[0:1],平手,2,析亚欧
20220605,2022-06-05 13:00:00,2148519,日职乙,5日13:00,完,千叶市原,[2:0],仙台维加泰,[0:0],*平/半,2,析亚欧
20220605,2022-06-05 13:00:00,2148520,日职乙,5日13:00,完,山形山神,[4:0],FC琉球,[1:0],半/一,2/2.5,析亚欧
20220605,2022-06-05 13:00:00,2148521,日职乙,5日13:00,完,大宫松鼠,[0:2],水户蜀葵,[0:1],平/半,2/2.5,析亚欧
20220605,2022-06-05 13:00:00,2148522,日职乙,5日13:00,完,山口雷法,[2:1],群马草津温泉,[0:0],平/半,2/2.5,析亚欧
20220605,2022-06-05 13:00:00,2148523,日职乙,5日13:00,完,横滨FC,[1:1],东京绿茵,[0:0],半/一,2.5,析亚欧
20220605,2022-06-05 13:00:00,2148526,日职乙,5日13:00,完,大分三神,[3:1],町田泽维亚,[3:0],平手,2,析亚欧
20220605,2022-06-05 17:00:00,2148524,日职乙,5日17:00,完,岩手盛冈仙鹤,[1:0],甲府风林,[1:0],*半/一,2/2.5,析亚欧
20220605,2022-06-05 17:00:00,2148525,日职乙,5日17:00,完,枥木SC,[2:3],长崎成功丸,[1:0],*平/半,2,析亚欧
20220611,2022-06-11 17:00:00,2148528,日职乙,11日17:00,完,金泽,[1:1],横滨FC,[0:1],*平/半,2/2.5,析亚欧
20220611,2022-06-11 17:00:00,2148529,日职乙,11日17:00,完,甲府风林,[1:1],千叶市原,[0:1],平/半,2,析亚欧
20220611,2022-06-11 17:00:00,2148538,日职乙,11日17:00,完,德岛漩涡,[2:2],仙台维加泰,[0:0],平手,2/2.5,析亚欧
20220611,2022-06-11 17:30:00,2148530,日职乙,11日17:30,完,FC琉球,[1:2],长崎成功丸,[0:1],*平/半,2,析亚欧
